Objects
100
,,Global Angle car_f1_1:car_f1_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.00728789,-0.00951956,-0.085393,612.019,-2997.95,284.366
2,0,-0.00692712,-0.0094306,-0.0852923,611.875,-2998.09,284.331
3,0,-0.00296004,-0.011018,-0.0856377,611.599,-2998.15,284.793
4,0,0.0066279,-0.0104024,-0.0858851,610.617,-2999.32,285.79
5,0,0.0204561,-0.00258456,-0.0829985,611.546,-2997.89,286.239
6,0,0.0239359,-0.00280651,-0.0818587,611.116,-2996.44,287.128
7,0,0.016859,-0.00275653,-0.0798648,611.026,-2993.47,286.697
8,0,0.0139754,-0.0084041,-0.0777999,611.432,-2990.13,286.87
9,0,0.0138752,-0.0068847,-0.0741098,611.362,-2986.35,287.285
10,0,0.0114174,-0.00401309,-0.0809183,612.556,-2983.76,286.868
11,0,0.0115894,-0.00746562,-0.0808124,612.835,-2981.16,286.531
12,0,0.017377,-0.00760915,-0.0853959,613.661,-2979.17,286.693
13,0,0.020766,-0.00416191,-0.0888615,613.803,-2977.87,286.547
14,0,0.0221643,-0.00321335,-0.0846507,613.977,-2976.15,286.151
15,0,0.0282496,-0.007462,-0.0808115,615.24,-2971.26,286.913
16,0,0.0300363,-0.00753779,-0.0772353,615.583,-2966.34,287.056
17,0,0.0328216,-0.00301885,-0.0791655,616.214,-2961.63,287.377
18,0,0.0297536,-0.00380102,-0.0789269,616.774,-2955.6,287.597
19,0,0.0260829,-0.00181649,-0.0794652,617.773,-2949.11,287.524
20,0,0.0235658,-0.00275839,-0.0677714,616.658,-2941.17,287.658
21,0,0.0268086,0.00747651,-0.0795565,618.182,-2936.03,287.301
22,0,0.0213796,0.00414414,-0.0876321,620.064,-2932.06,286.686
23,0,0.0221023,-0.00736643,-0.0858704,622.253,-2925.63,286.723
24,0,0.0177215,-0.0112451,-0.0812864,622.516,-2918.66,286.258
25,0,0.01848,-0.0119215,-0.0832054,623.378,-2911.52,286.467
26,0,0.0173661,-0.0122961,-0.0807847,623.704,-2904.13,286.495
27,0,0.0192784,-0.00395492,-0.0826035,623.926,-2896.73,286.402
28,0,0.0194347,-0.00655291,-0.0822395,624.889,-2889.43,286.509
29,0,0.0184553,-0.00768191,-0.0796339,625.739,-2881.85,286.369
30,0,0.0168521,-0.00682128,-0.0827539,626.496,-2874.38,286.292
31,0,0.0178948,-0.00460067,-0.0843312,626.906,-2866.92,286.74
32,0,0.0163847,-0.00982224,-0.0804492,627.906,-2859.39,286.343
33,0,0.0271564,-0.00262719,-0.0840812,628.314,-2851.38,287.688
34,0,0.0295977,-0.004278,-0.080946,629.367,-2843.71,287.698
35,0,0.0185128,-0.00872614,-0.0778259,630.164,-2836.28,286.596
36,0,0.0240291,-0.00739699,-0.0735002,630.839,-2826.76,287.423
37,0,0.0197168,-0.0167197,-0.0722396,632.082,-2819.08,287.583
38,0,0.0212605,-0.0162015,-0.0718891,633.108,-2810.78,287.758
39,0,0.0179977,-0.00583337,-0.0797628,633.92,-2804.64,286.798
40,0,0.0174333,-0.00580623,-0.0781959,634.757,-2796.56,286.687
41,0,0.0133543,-0.0187042,-0.0758798,637.026,-2790.07,286.842
42,0,0.0123766,-0.00896237,-0.0786144,636.59,-2780.12,286.703
43,0,0.0165646,-0.0135678,-0.0814255,638.765,-2772.48,287.236
44,0,0.0158187,-0.00927345,-0.0766566,638.624,-2764.07,286.692
45,0,0.0163285,-0.00854451,-0.0784472,639.793,-2755.47,286.833
46,0,0.0130586,-0.00102416,-0.0780573,640.335,-2746.06,286.875
47,0,0.0114316,-0.00781644,-0.0771503,642.058,-2737.62,286.691
48,0,0.012059,-0.00688454,-0.0787347,643.197,-2729.51,287.096
49,0,0.0157672,-0.000237212,-0.0800261,643.902,-2720.51,287.197
50,0,0.0179773,-0.00048476,-0.0781888,645.114,-2711.57,286.99
51,0,0.0158713,-0.00400332,-0.0759146,646.038,-2702.78,287.088
52,0,0.0155529,-0.0012171,-0.0773025,646.708,-2693.92,286.98
53,0,0.0155583,-0.00304479,-0.0794753,647.908,-2685.24,287.17
54,0,0.0166039,-0.000575377,-0.0804917,648.454,-2676.42,287.17
55,0,0.0238828,-0.00252537,-0.0777228,649.365,-2666.79,288.1
56,0,0.0195898,-0.00554333,-0.0759286,649.899,-2657.29,287.95
57,0,0.0161442,-0.00667923,-0.0786326,651.652,-2648.15,287.577
58,0,0.0165477,-0.00531615,-0.079567,652.402,-2638.89,287.319
59,0,0.0152774,-0.00842352,-0.0773058,653.077,-2629.99,287.314
60,0,0.0110344,-0.0150489,-0.0769332,654.617,-2621.16,286.977
61,0,0.013711,-0.00967035,-0.0773953,655.237,-2611.47,286.822
62,0,0.0131509,-0.0123294,-0.0765443,656.375,-2601.95,287.063
63,0,0.0166811,-0.00625458,-0.0781826,656.992,-2591.79,287.357
64,0,0.0158163,-0.00612385,-0.079052,658.313,-2582.28,287.527
65,0,0.0182243,-0.00561762,-0.0796525,659.752,-2572.06,287.931
66,0,0.0187999,-0.00635467,-0.0789721,661.125,-2562.35,288.102
67,0,0.0196452,-0.0038886,-0.0761962,661.745,-2552.5,287.899
68,0,0.0177023,-0.00385882,-0.0773312,662.903,-2542.65,287.76
69,0,0.0156704,-0.00768284,-0.076064,664.578,-2532.33,287.679
70,0,0.0199733,-0.00531593,-0.0753716,665.709,-2522.2,288.244
