Objects
100
,,Global Angle car_f1_1:car_f1_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.0177325,-0.0253103,0.0917991,497.489,-2908.43,287.419
2,0,0.0178234,-0.0253661,0.0919782,497.449,-2908.39,287.397
3,0,0.0177317,-0.0254494,0.0922443,497.399,-2908.35,287.362
4,0,0.0173577,-0.0261127,0.0920874,497.382,-2908.43,287.574
5,0,0.0179565,-0.0254816,0.0921055,497.502,-2908.38,287.335
6,0,0.0175527,-0.0238386,0.0912069,497.342,-2908.36,287.609
7,0,0.0101382,-0.019889,0.0809859,498.661,-2909.95,286.435
8,0,0.010663,-0.0189736,0.0811039,498.768,-2909.95,286.292
9,0,0.0105822,-0.0197214,0.0813019,498.579,-2909.91,286.249
10,0,0.0105438,-0.0192608,0.0811778,498.671,-2909.93,286.155
11,0,0.00827352,-0.0210606,0.084375,497.931,-2909.99,286.035
12,0,0.00877906,-0.0200499,0.0830894,498.429,-2909.93,285.853
13,0,0.00908984,-0.0203357,0.0839384,498.303,-2910.11,285.98
14,0,0.0085699,-0.0213158,0.0839021,498.246,-2910.14,286.136
15,0,0.0089973,-0.0205343,0.0841198,498.319,-2910.07,285.929
16,0,0.0171472,-0.0259153,0.0921732,497.308,-2908.37,287.449
17,0,0.0174841,-0.0261453,0.0919916,497.373,-2908.4,287.396
18,0,0.0175136,-0.0263212,0.0909229,497.199,-2908.59,287.673
19,0,0.0176393,-0.0256722,0.0914751,497.389,-2908.44,287.552
20,0,0.0183571,-0.0255579,0.0923738,497.573,-2908.61,287.256
21,0,0.0221087,-0.0210533,0.0830038,499.157,-2908.75,286.871
22,0,0.0296642,-0.00602916,0.0769874,499.991,-2908.64,286.876
23,0,0.0373509,-0.0066124,0.079215,500.206,-2907.53,287.395
24,0,0.0337543,-0.0073869,0.0848664,500.066,-2906.17,286.685
25,0,0.0296158,-0.0047576,0.0858299,498.747,-2903.81,286.845
26,0,0.0320597,-0.00432891,0.0849467,499.643,-2899.48,287.283
27,0,0.0329374,-0.000667197,0.0845857,499.706,-2895.19,287.324
28,0,0.0315301,0.00093777,0.0835268,499.202,-2890.41,287.89
29,0,0.034443,-0.00109032,0.0824652,500.205,-2885.59,288.213
30,0,0.0332625,-0.00152341,0.0871598,499.319,-2879.92,288.25
31,0,0.0328691,0.00659486,0.0826633,499.397,-2874.86,287.815
32,0,0.0319524,0.00138189,0.083614,499.922,-2868.12,287.93
33,0,0.0303359,0.00275814,0.0822548,499.509,-2862.19,287.779
34,0,0.0322943,0.0035483,0.0805339,498.886,-2855.76,287.832
35,0,0.0318515,0.00461394,0.079603,498.483,-2849.35,287.545
36,0,0.0326666,0.00570216,0.0784733,497.685,-2842.5,287.753
37,0,0.0281048,-0.00716016,0.0833893,497.412,-2834.76,288.252
38,0,0.0249244,-0.00892541,0.0809948,497.479,-2828.17,287.258
39,0,0.0276211,-0.00214787,0.0803004,496.096,-2820.86,287.432
40,0,0.0298137,-0.00193243,0.0795289,494.901,-2813.78,287.328
41,0,0.0272314,-0.00246895,0.0788961,494.212,-2805.79,287.538
42,0,0.0336952,-0.0101442,0.0802167,494.343,-2798.04,288.024
43,0,0.0316119,-0.0103373,0.0825863,493.108,-2789.36,287.87
44,0,0.0335021,-0.00962678,0.0797695,492.896,-2781.32,288.353
45,0,0.0332068,-0.0087709,0.083102,492.571,-2772.07,287.791
46,0,0.0332177,-0.0132883,0.0813823,492.316,-2763.14,288.595
47,0,0.0305402,-0.0121395,0.0842941,491.761,-2753.55,288.161
48,0,0.028095,-0.0111285,0.0828629,491.87,-2744.77,287.72
49,0,0.0288134,-0.00820342,0.0806774,491.416,-2736.01,287.421
50,0,0.0292831,-0.011132,0.0828963,490.897,-2726.64,288.108
51,0,0.0267012,-0.011358,0.082572,490.798,-2717.94,287.605
52,0,0.0212926,-0.00518023,0.0827246,489.974,-2707.39,287.615
53,0,0.0240484,-0.00980554,0.083238,490.249,-2699.15,287.279
54,0,0.0321042,-0.0131058,0.0860518,489.627,-2688.75,289.439
55,0,0.0174187,-0.00652307,0.0813695,489.737,-2679.73,287.108
56,0,0.0239545,-0.00453056,0.0847903,488.376,-2670.45,288.106
57,0,0.0241634,-0.00335514,0.0852359,488.501,-2661.17,287.807
58,0,0.0226446,-0.00351775,0.0827772,488.067,-2651.62,287.855
59,0,0.023852,-0.00524214,0.0815541,487.659,-2642.1,288.144
60,0,0.0220156,-0.00497795,0.0822624,486.953,-2632.73,287.872
61,0,0.022623,-0.00575619,0.0837752,486.728,-2623.06,287.659
62,0,0.0209673,-0.00424125,0.0812682,485.733,-2613.34,287.691
63,0,0.0210408,-0.00578792,0.081721,485.452,-2603.3,287.707
64,0,0.0223912,-0.00503895,0.0801225,485.368,-2593.43,287.839
65,0,0.0169985,-0.00680035,0.0810393,484.716,-2583.21,287.215
66,0,0.0178188,-0.00546536,0.0812429,484.158,-2573.45,287.684
67,0,0.0181396,-0.00732031,0.0801774,484.08,-2563.2,287.536
68,0,0.0165094,-0.00835445,0.0817734,483.606,-2553.39,287.303
69,0,0.0196838,-0.00412572,0.0775824,483.523,-2543.29,287.981
70,0,0.0183749,-0.00606996,0.080094,482.981,-2533.12,287.609
71,0,0.0177078,-0.00447771,0.0787161,482.256,-2523.03,287.66
72,0,0.0205667,-0.00527918,0.0783748,482.268,-2512.68,287.895
73,0,0.0200657,-0.00512131,0.0806625,481.186,-2502.43,287.966
74,0,0.0186136,-0.00685842,0.0798161,480.657,-2491.76,288.061
75,0,0.0200986,-0.00606126,0.0812801,479.813,-2481.31,287.941
76,0,0.0178241,-0.00913001,0.0802934,479.447,-2470.86,287.732
77,0,0.0183543,-0.00993804,0.0788349,478.709,-2460.34,287.913
78,0,0.0207245,-0.0115969,0.0794099,478.298,-2449.76,288.184
79,0,0.0203545,-0.00796191,0.0790157,477.233,-2439.2,288.413
80,0,0.0194275,-0.011093,0.0813266,476.846,-2428.16,288.497
81,0,0.0177701,-0.00825265,0.0791051,476.986,-2416.52,288.272
82,0,0.0175691,-0.0100737,0.0762266,476.926,-2405.91,288.617
83,0,0.0183192,-0.00785915,0.0760634,476.484,-2394.84,288.575
84,0,0.0181286,-0.00763568,0.0752752,476.392,-2384.37,288.537
85,0,0.0199084,-0.00733054,0.0792292,475.576,-2373.26,288.573
86,0,0.0192757,-0.00612232,0.0777516,475.84,-2361.67,288.377
87,0,0.0172142,-0.00674519,0.0778685,474.835,-2350.78,288.208
88,0,0.0178695,-0.00513235,0.0761332,474.853,-2339.55,288.493
89,0,0.0170607,-0.00488588,0.0816099,474.113,-2327.93,288.261
90,0,0.0156166,-0.00532052,0.0771165,473.528,-2316.65,288.223
91,0,0.020458,-0.00712433,0.0749041,473.414,-2304.96,288.799
92,0,0.0202112,-0.00626248,0.0775701,472.359,-2293.56,288.915
93,0,0.0171514,-0.00633806,0.0752719,472.251,-2281.77,288.515
94,0,0.019427,-0.00847513,0.0749305,471.826,-2270.07,288.776
95,0,0.01627,-0.00981681,0.0791879,470.874,-2258.53,288.438
96,0,0.0181991,-0.00742572,0.0737431,470.99,-2247.23,288.92
97,0,0.0189344,-0.00357647,0.0754231,470.914,-2234.85,288.876
98,0,0.0192036,-0.00537639,0.0749276,470.595,-2223.51,288.997
99,0,0.015847,-0.00309687,0.0762391,470.062,-2211.54,288.687
100,0,0.0193044,-0.0012765,0.0740548,469.828,-2199.4,288.96
101,0,0.0227144,-0.00366128,0.0751809,469.37,-2188.1,289.197
102,0,0.0201807,-0.00427693,0.073149,468.637,-2175.75,289.106
103,0,0.0210396,-0.00733482,0.0757861,467.551,-2163.5,289.242
104,0,0.0203608,-0.00576795,0.0753975,466.934,-2151.54,289.057
105,0,0.020502,-0.00942362,0.0759656,466.09,-2139.15,289.428
106,0,0.0198915,-0.00732393,0.0722245,465.729,-2127.05,289.395
107,0,0.0175342,-0.00921399,0.0777598,464.586,-2114.72,289.077
108,0,0.0195249,-0.00904159,0.0735898,464.748,-2101.59,289.567
109,0,0.0179341,-0.00519218,0.0802618,463.396,-2089.26,289.142
110,0,0.0183031,-0.00668347,0.0740447,464.192,-2076.73,289.376
111,0,0.0159514,-0.00712569,0.0782396,463.491,-2064.45,289.06
112,0,0.0199713,-0.0026003,0.0735519,463.742,-2051.65,289.545
113,0,0.0184825,-0.00378355,0.0749544,463.458,-2039.15,289.437
114,0,0.0194871,-0.00431033,0.0763701,463.032,-2025.93,289.691
115,0,0.019791,-0.0030858,0.0741251,462.543,-2013.77,289.665
116,0,0.0197286,-0.00297647,0.0728459,462.096,-2000.81,289.782
117,0,0.0188971,-0.00396722,0.0734889,460.944,-1987.93,289.801
118,0,0.0154514,-0.00720428,0.0772216,459.782,-1975.55,289.365
119,0,0.0166399,-0.00731383,0.0762505,459.529,-1961.72,289.89
120,0,0.0185731,-0.00666978,0.0743131,459.349,-1948.66,290.008
121,0,0.0184616,-0.00674763,0.0741075,458.875,-1935.7,290.289
122,0,0.0203029,-0.00588491,0.0736892,458.488,-1922.62,290.607
123,0,0.0197737,-0.00503279,0.0724048,458.024,-1910.29,290.405
124,0,0.0213851,-0.00419075,0.0750665,457.706,-1896.61,290.645
125,0,0.0222914,-0.00352525,0.0720986,457.061,-1883.36,290.581
126,0,0.0212369,-0.00730828,0.0698391,456.65,-1870.89,290.759
127,0,0.0225323,-0.00682523,0.0735246,455.466,-1857.37,290.947
