Objects
100
,,Global Angle car_f1_1:car_f1_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.0050096,0.00693253,0.138781,345.706,-3012.76,285.33
2,0,-0.00427144,0.00553644,0.13988,345.641,-3012.72,285.371
3,0,-0.00392702,0.00703662,0.140983,345.491,-3012.76,285.367
4,0,-0.00530957,0.00697082,0.141433,345.571,-3013.02,285.291
5,0,-0.00477592,0.00654924,0.14122,345.648,-3012.73,285.344
6,0,-0.00128288,0.00582378,0.141184,345.65,-3013.2,285.308
7,0,0.00485462,0.00913519,0.138918,346.404,-3011.81,285.743
8,0,0.0116562,0.0166757,0.144179,347.472,-3010.85,285.695
9,0,0.0162302,0.0176661,0.147582,347.602,-3009.43,285.963
10,0,0.0190473,0.0223588,0.146623,348.075,-3007.12,286.085
11,0,0.0258863,0.0128469,0.150029,347.632,-3004.43,286.731
12,0,0.0260907,0.0153467,0.143755,346.741,-3000.84,287.671
13,0,0.0270108,0.0167761,0.145045,346.615,-2996.4,287.886
14,0,0.0281124,0.0166928,0.14463,346.278,-2991.26,288.17
15,0,0.0283688,0.0214017,0.143307,346.314,-2985.97,288.139
16,0,0.0266723,0.0169965,0.141786,346.006,-2980.17,288.312
17,0,0.0276958,0.0174982,0.143578,345.13,-2974.77,288.277
18,0,0.0283207,0.016353,0.145204,344.577,-2968.54,288.005
19,0,0.0277702,0.0165759,0.142611,344.159,-2961.75,287.859
20,0,0.0267839,0.0168362,0.143231,343.547,-2955.16,287.782
21,0,0.02426,0.015672,0.141929,342.686,-2948.4,287.831
22,0,0.0279214,0.011129,0.145705,342.362,-2941.51,287.489
23,0,0.027632,0.0136666,0.140757,341.299,-2934.47,287.57
24,0,0.0261258,0.0137336,0.143565,340.44,-2927.07,287.837
25,0,0.0265083,0.0135775,0.142686,339.832,-2919.81,287.935
26,0,0.0282498,0.014252,0.143197,339.043,-2912.15,288.095
27,0,0.0293207,0.0140621,0.142499,338.998,-2904.12,288.126
28,0,0.0305664,0.0141527,0.144599,338.009,-2895.84,288.369
29,0,0.0298224,0.0124781,0.142209,337.933,-2886.93,288.051
30,0,0.0312632,0.0158014,0.145946,337.615,-2877.48,288.147
31,0,0.0284567,0.01321,0.144685,337.08,-2867.87,287.976
32,0,0.025522,0.0163269,0.1421,335.978,-2858.35,288.01
33,0,0.0226324,0.0167106,0.141695,335.492,-2848.58,287.595
34,0,0.0224042,0.0129427,0.143409,334.725,-2839.02,287.397
35,0,0.0225627,0.0103754,0.144505,333.802,-2829.57,287.265
36,0,0.0218335,0.010536,0.142764,332.469,-2820.39,287.163
37,0,0.021907,0.0079244,0.144399,331.398,-2811.01,287.086
38,0,0.0216902,0.00803536,0.143962,330.381,-2801.43,287.01
39,0,0.0219776,0.00577187,0.143588,329.475,-2791.84,286.816
40,0,0.0215248,0.00614285,0.142508,328.399,-2781.96,286.911
41,0,0.0196408,0.00925328,0.145122,328.372,-2771.97,286.741
42,0,0.0211706,0.00500307,0.144521,326.567,-2762.48,287.334
43,0,0.0205945,0.00373864,0.144573,325.983,-2752.64,286.963
44,0,0.0198907,0.00515181,0.144906,325.236,-2742.56,287.118
45,0,0.0184208,0.00826889,0.143735,323.91,-2732.62,287.495
46,0,0.0198982,0.00569171,0.146054,323.69,-2722.08,287.422
47,0,0.0189518,0.00472638,0.147285,322.871,-2711.88,287.384
48,0,0.0148142,0.00959401,0.146072,322.709,-2700.17,287.234
49,0,0.0188221,0.0015881,0.147107,320.815,-2691.42,287.527
50,0,0.0186887,0.00421932,0.148573,319.958,-2680.96,287.346
51,0,0.0178472,0.00173159,0.145756,319.391,-2670.61,287.321
52,0,0.0151523,0.0098425,0.149404,317.87,-2659.68,287.516
53,0,0.013628,0.00657949,0.147724,317.214,-2649.09,287.598
54,0,0.0133822,0.00627388,0.14505,316.442,-2637.89,287.673
55,0,0.0144739,0.00483932,0.147246,315.672,-2627.53,287.665
56,0,0.0159727,0.00205664,0.148729,314.447,-2617.54,287.935
57,0,0.0163937,0.000759423,0.145587,313.369,-2607.2,287.998
58,0,0.0173229,0.0023024,0.147722,312.956,-2596.13,287.925
59,0,0.016588,0.0061373,0.146547,311.825,-2585.31,287.989
60,0,0.0172726,0.00406676,0.148153,311.56,-2574.09,287.842
61,0,0.0153908,0.00616714,0.147078,310.356,-2563.11,287.956
62,0,0.0142231,0.00791709,0.148395,309.346,-2552.2,287.95
63,0,0.0149897,0.00366791,0.150173,309.104,-2540.68,287.947
64,0,0.0123247,0.00658051,0.144765,308.364,-2528.93,288.141
65,0,0.0155847,0.00814442,0.146556,307.458,-2518.17,287.946
66,0,0.0138914,0.00528762,0.149138,306.353,-2507.36,288.14
67,0,0.0147029,0.00431184,0.148904,305.552,-2495.82,288.114
68,0,0.014564,0.00668436,0.145865,304.506,-2484.56,288.164
69,0,0.0163044,0.00739035,0.144932,303.749,-2472.76,287.958
70,0,0.015516,0.00586197,0.145979,302.901,-2461.32,288.306
71,0,0.0146414,0.00702972,0.145345,301.989,-2449.63,288.403
72,0,0.0155674,0.00868843,0.143376,301.071,-2437.59,288.228
73,0,0.0151407,0.00780412,0.14436,300.274,-2425.82,288.513
74,0,0.0156424,0.00619694,0.1445,299.439,-2414.32,288.522
75,0,0.0158723,0.00738031,0.147252,298.073,-2403.01,288.338
76,0,0.0163483,0.00891005,0.143726,297.347,-2390.77,288.326
77,0,0.0163625,0.00595193,0.143958,296.678,-2378.53,288.165
78,0,0.0169108,0.00545212,0.143699,295.709,-2366.81,288.312
79,0,0.0157269,0.00422524,0.143307,294.486,-2354.18,288.165
80,0,0.0157789,0.00153775,0.144699,292.823,-2342.84,288.589
81,0,0.0153699,0.00364158,0.144017,291.919,-2330.07,288.51
82,0,0.0156501,0.00228487,0.143313,290.357,-2318.49,288.504
83,0,0.0174312,0.000140036,0.142036,289.577,-2305.88,288.56
84,0,0.0174546,-0.00114421,0.142821,288.498,-2293.58,288.938
85,0,0.0187455,0.00189692,0.14135,287.665,-2281.95,288.886
86,0,0.0174832,0.00222209,0.143824,286.303,-2269.68,288.949
87,0,0.0159834,0.00282118,0.142775,285.79,-2256.45,288.876
88,0,0.0162331,0.00278989,0.143389,284.818,-2243.28,288.811
89,0,0.0146037,0.00258855,0.141445,284.114,-2230.66,288.858
90,0,0.0148536,0.00254336,0.143177,283.12,-2218.48,289.056
91,0,0.0138418,0.00664344,0.140636,282.469,-2205.14,288.782
92,0,0.0141593,0.00650916,0.14043,281.546,-2192.35,288.872
93,0,0.0140676,0.00469638,0.141569,281.018,-2179.43,288.815
94,0,0.0153558,0.00581814,0.139524,279.744,-2166.82,288.903
95,0,0.0141423,0.00371485,0.141042,278.838,-2153.51,288.96
96,0,0.0139946,0.00570214,0.141655,278.025,-2140.65,289.13
97,0,0.0136491,0.00585568,0.14033,276.94,-2127.49,289.202
98,0,0.0121794,0.00727725,0.142053,276.358,-2114.7,289.388
99,0,0.0124109,0.00795225,0.141047,275.507,-2101.09,289.531
100,0,0.013488,0.00480806,0.14383,274.98,-2087.58,289.443
101,0,0.0135321,0.00695764,0.140887,273.55,-2074.96,289.633
102,0,0.014529,0.00694483,0.142802,272.755,-2061.31,289.658
103,0,0.0143721,0.00703124,0.139776,271.502,-2048.73,289.726
104,0,0.0148329,0.00555327,0.141384,270.351,-2035.09,289.857
105,0,0.0138018,0.00500969,0.141019,269.302,-2021.49,290.183
106,0,0.0151609,0.00418334,0.141159,268.259,-2007.72,290.204
107,0,0.0151765,0.0038438,0.139384,266.798,-1994.68,290.38
