Objects
100
,,Global Angle car_f1_1:car_f1_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.0111269,-0.0221869,0.146607,1118.49,-2788.24,286.209
2,0,0.0167129,-0.0195432,0.149809,1118.43,-2788.19,285.723
3,0,0.0090111,-0.0183389,0.153801,1117.76,-2783.89,285.706
4,0,0.00830903,-0.0107107,0.135787,1119.34,-2778.75,286.231
5,0,0.00503077,-0.00778057,0.132866,1119.48,-2776.02,286.193
6,0,0.00867985,-0.0110964,0.134193,1119.3,-2774.42,285.686
7,0,0.0154042,-0.009674,0.138147,1118.55,-2772.99,285.833
8,0,0.0231098,-0.0120819,0.143463,1118.06,-2772.13,286.046
9,0,0.0274413,-0.013129,0.144345,1117.73,-2768.8,286.594
10,0,0.0367682,-0.00830382,0.142259,1117.49,-2765.13,288.207
11,0,0.0301861,-0.00726977,0.145827,1117.11,-2760.39,287.387
12,0,0.0283983,-0.00736729,0.147091,1116.57,-2755.28,287.628
13,0,0.0258483,-0.00689735,0.148601,1115.58,-2749.18,287.418
14,0,0.0253703,-0.00839688,0.148308,1115.47,-2742.88,287.219
15,0,0.0259254,-0.0076776,0.145316,1115.31,-2737.86,286.984
16,0,0.0259058,-0.00333092,0.141792,1115.02,-2732.14,286.724
17,0,0.0265614,-0.00717544,0.148265,1114.17,-2725.68,287.42
18,0,0.031791,-0.00511456,0.144618,1113.81,-2720.05,287.896
19,0,0.0311341,-0.00167697,0.145098,1112.48,-2713.29,287.402
20,0,0.0286685,-0.00414428,0.144052,1111.87,-2706.21,287.455
21,0,0.0247725,-0.00779908,0.14859,1110.47,-2699.63,286.999
22,0,0.0233936,-0.00825948,0.1491,1109.55,-2691.85,287.133
23,0,0.0277741,-0.00763995,0.146548,1109.14,-2685.03,287.345
24,0,0.0264033,-0.00650577,0.146284,1108.27,-2677.7,287.158
25,0,0.0233088,-0.00548204,0.144959,1107,-2669.96,287.308
26,0,0.0242681,-0.00616566,0.145583,1106.44,-2662.76,287.036
27,0,0.0244,-0.00687696,0.145032,1105.32,-2655.05,287.266
28,0,0.0237215,-0.00826207,0.144195,1104.16,-2647.64,287.136
29,0,0.0201142,-0.00778866,0.14767,1102.97,-2640.24,286.494
30,0,0.019258,-0.00963422,0.148796,1101.67,-2632.58,286.406
31,0,0.0249872,-0.00845723,0.143679,1101.09,-2625.07,286.674
32,0,0.0246776,-0.0116991,0.143299,1100.15,-2617.07,287.129
33,0,0.0182202,-0.00983959,0.146085,1098.7,-2608.68,286.737
34,0,0.0206617,-0.00933603,0.144014,1098.15,-2600.8,287.005
35,0,0.0189553,-0.00686374,0.144046,1097.52,-2592.85,286.862
36,0,0.0168654,-0.00702367,0.142415,1096.96,-2584.56,287.177
37,0,0.0179533,-0.00520426,0.139912,1095.78,-2576.74,286.988
38,0,0.0209422,-0.00880654,0.139507,1094.67,-2569.39,287.056
39,0,0.0220645,-0.010706,0.138447,1093.08,-2560.74,287.363
40,0,0.021953,-0.0135297,0.139333,1091.63,-2552.51,287.255
41,0,0.0201564,-0.0144699,0.142036,1090.26,-2544.31,286.994
42,0,0.021722,-0.0139668,0.138981,1089.45,-2535.84,287.418
43,0,0.0197965,-0.0120401,0.139805,1088.6,-2527.01,287.113
44,0,0.0178762,-0.0112483,0.140066,1087.77,-2518.3,287.161
45,0,0.018305,-0.00952468,0.139952,1086.67,-2509.36,287.062
46,0,0.0186059,-0.0095899,0.1398,1086.16,-2500.57,287.203
47,0,0.0193623,-0.00946372,0.140004,1085.34,-2491.97,287.071
48,0,0.0176392,-0.00888754,0.142367,1084.09,-2483.34,286.645
49,0,0.0195781,-0.00910787,0.140682,1083.44,-2474.67,286.6
50,0,0.0216189,-0.0100877,0.139969,1082.6,-2465.45,286.942
51,0,0.0211513,-0.00842108,0.140605,1081.66,-2456.3,286.951
52,0,0.0229731,-0.0108752,0.140581,1080.55,-2447.4,287.345
53,0,0.0220268,-0.0103191,0.142128,1079.44,-2437.75,287.446
54,0,0.0229816,-0.0100704,0.139502,1078.36,-2428.78,287.608
55,0,0.0188649,-0.0106555,0.144298,1076.87,-2419.59,287.091
56,0,0.0227383,-0.00928641,0.140303,1076.54,-2410.27,287.664
57,0,0.0206986,-0.0109272,0.14613,1075.02,-2400.92,287.359
58,0,0.0236257,-0.00952656,0.142136,1074.44,-2391.38,288.156
59,0,0.0249214,-0.0104202,0.140946,1073.64,-2381.63,288.076
60,0,0.0212632,-0.00807248,0.145397,1072.59,-2371.66,287.564
61,0,0.0210837,-0.00483751,0.141734,1072.1,-2361.91,287.47
62,0,0.0208242,-0.00869278,0.147208,1070.48,-2351.84,287.202
63,0,0.021897,-0.00421477,0.141206,1070.26,-2342.01,287.456
64,0,0.0250233,-0.00630253,0.142528,1068.88,-2332.15,287.654
65,0,0.0225591,-0.00499712,0.143034,1067.47,-2322.13,287.426
66,0,0.0211687,-0.0064258,0.141931,1066.05,-2312.06,287.343
67,0,0.023194,-0.0108879,0.141232,1065,-2301.76,287.82
68,0,0.0202036,-0.00731948,0.14173,1064.17,-2290.98,287.635
69,0,0.0202208,-0.00486919,0.142145,1062.78,-2281.06,287.589
70,0,0.0186478,-0.00278567,0.140738,1061.87,-2270.46,287.533
71,0,0.0197162,-0.00407077,0.136783,1060.57,-2259.78,287.702
72,0,0.0195196,-0.00791463,0.139703,1058.69,-2249.9,287.428
73,0,0.0210145,-0.0114505,0.137531,1057.1,-2239.6,287.646
74,0,0.020605,-0.0120948,0.138416,1056.11,-2228.47,287.579
75,0,0.0190357,-0.0128446,0.140365,1054.61,-2218.2,287.48
76,0,0.0210209,-0.0148053,0.138114,1053.39,-2207.26,287.925
77,0,0.0163969,-0.00800576,0.138931,1052.32,-2195.67,287.939
78,0,0.0139085,-0.00690674,0.137926,1051.13,-2185.24,287.744
79,0,0.0160225,-0.00541593,0.136907,1050.22,-2174.13,288.04
80,0,0.0163203,-0.00760626,0.140649,1049.06,-2163.33,288.174
81,0,0.0159342,-0.00683124,0.1376,1048.15,-2152.7,288.044
82,0,0.0175677,-0.00599965,0.138381,1047.02,-2141.65,288.105
83,0,0.0174998,-0.00484583,0.138754,1045.54,-2130.32,287.954
84,0,0.0182486,-0.00737594,0.13999,1044.67,-2119.4,288.52
85,0,0.0196446,-0.00444418,0.13917,1043.72,-2108.03,288.594
86,0,0.0204249,-0.00626029,0.138853,1042.31,-2097.57,288.725
87,0,0.0187846,-0.00735777,0.140981,1040.92,-2085.77,288.728
88,0,0.0197824,-0.00452585,0.138801,1040.12,-2074.46,289.046
89,0,0.0188421,-0.00595645,0.139906,1038.89,-2062.93,289.169
90,0,0.0186553,-0.00132776,0.141537,1037.83,-2050.9,289.038
91,0,0.0201817,-0.00404487,0.138853,1036.82,-2040.11,289.124
92,0,0.0194733,-0.00122322,0.141207,1035.73,-2028.15,289.162
93,0,0.01929,-0.000656586,0.13885,1034.47,-2017.34,288.951
94,0,0.0213883,-0.00273954,0.138986,1033.18,-2005.51,289.097
95,0,0.0225241,-0.00163742,0.139206,1031.87,-1993.1,289.2
96,0,0.0203715,-0.00181975,0.139437,1030.57,-1981.85,289.43
97,0,0.0229391,0.000365634,0.139782,1029.39,-1970.47,289.578
98,0,0.0223598,0.0046532,0.136474,1028.08,-1958.25,289.767
99,0,0.0226167,0.00169915,0.13637,1026.44,-1946.24,289.651
100,0,0.0236769,-0.00420001,0.137351,1024.6,-1934.39,289.79
101,0,0.0227946,-0.00751229,0.138252,1022.73,-1922.81,289.577
102,0,0.0224238,-0.00814517,0.140294,1020.83,-1910.73,289.402
103,0,0.0212573,-0.00934909,0.140344,1019.03,-1898.55,289.558
104,0,0.020976,-0.00981096,0.140774,1017.68,-1885.96,289.549
105,0,0.0223235,-0.00710958,0.138038,1017.01,-1872.97,290.068
106,0,0.0201002,-0.00479216,0.137134,1015.46,-1861.26,289.927
107,0,0.0193408,-0.00587527,0.138478,1014.6,-1848.67,289.947
108,0,0.0205141,-0.00711295,0.140198,1013.28,-1836.2,290.117
109,0,0.0205088,-0.00516059,0.139095,1012.27,-1824.01,290.109
110,0,0.0214884,-0.00477933,0.141768,1010.85,-1811.59,290.048
111,0,0.0228846,-0.00405004,0.13806,1009.75,-1799.44,290.442
112,0,0.0231965,-0.00314455,0.1371,1008.68,-1786.77,290.655
113,0,0.0232356,-0.00320846,0.139935,1007.74,-1773.59,290.843
114,0,0.0225225,-0.0025087,0.139442,1006.48,-1761.24,290.881
115,0,0.020689,-0.00134884,0.140359,1005.21,-1747.93,290.952
116,0,0.0199248,0.00113831,0.140543,1004.11,-1734.81,290.901
117,0,0.0205038,0.000229198,0.139519,1002.82,-1722.03,291.005
118,0,0.0206947,0.00278657,0.139987,1001.41,-1709.05,290.976
119,0,0.0200718,-0.000647915,0.140146,999.766,-1696.42,291.127
120,0,0.0180194,-0.003485,0.135464,998.674,-1683.33,291.232
121,0,0.0165142,-0.000577543,0.137087,997.107,-1670.11,291.643
122,0,0.0141552,7.58958e-005,0.133542,995.935,-1656.49,291.673
123,0,0.0163067,0.0023094,0.130958,994.31,-1643.34,291.99
124,0,0.0167424,-0.00221908,0.132274,991.951,-1631.03,292.038
125,0,0.0180823,-0.00578953,0.131596,989.886,-1617.97,292.017
126,0,0.0178822,-0.0090283,0.132229,987.755,-1604.96,292.093
127,0,0.0177807,-0.0117186,0.134855,985.873,-1592,292.46
128,0,0.0168086,-0.0121762,0.131858,984.233,-1577.97,292.317
129,0,0.0157428,-0.0106893,0.135648,982.265,-1564.2,292.814
130,0,0.0144299,-0.0120071,0.134788,980.846,-1550.88,292.839
131,0,0.0142259,-0.0120232,0.131673,979.842,-1537.14,292.658
132,0,0.0157842,-0.0107593,0.134561,978.167,-1524.06,292.962
133,0,0.0183398,-0.0111891,0.13118,977.291,-1510.74,292.957
134,0,0.0173596,-0.00833428,0.134889,975.741,-1497.32,293.142
135,0,0.0206095,-0.00951936,0.135546,974.42,-1484.2,293.542
136,0,0.0201764,-0.00878534,0.137299,973.027,-1470.44,293.767
137,0,0.0196838,-0.00697449,0.136916,972.041,-1456.83,294.029
138,0,0.0210492,-0.007178,0.137627,970.757,-1443.18,294.208
139,0,0.0208497,-0.00565605,0.138299,969.352,-1429.08,294.312
140,0,0.0210177,-0.00643728,0.137195,968.198,-1415.27,294.245
141,0,0.0209608,-0.00439816,0.137343,966.762,-1401.51,294.52
142,0,0.0202159,-0.0068024,0.138343,965.055,-1388.04,294.787
143,0,0.0197158,-0.00630553,0.137609,963.674,-1373.6,295
144,0,0.0180431,-0.00450288,0.137749,962.042,-1359.63,295.114
145,0,0.0176636,-0.00269084,0.136643,960.624,-1345.48,295.198
146,0,0.0188766,-0.00372447,0.135186,958.768,-1331.71,295.252
147,0,0.0212724,-0.0113105,0.134793,956.818,-1317.97,295.46
148,0,0.0230231,-0.00921004,0.136432,954.061,-1304.31,295.74
149,0,0.0225972,-0.0126519,0.137056,952.12,-1290.18,295.939
150,0,0.0205208,-0.0137857,0.136385,950.221,-1275.39,295.975
151,0,0.0195288,-0.0142278,0.137036,948.292,-1260.93,296.153
152,0,0.0183614,-0.0146146,0.137024,946.828,-1246.53,296.24
153,0,0.0194127,-0.0157252,0.136783,945.166,-1232.38,296.393
154,0,0.0204439,-0.0140769,0.137233,943.841,-1218.33,296.537
155,0,0.0218295,-0.012071,0.137493,942.293,-1204.21,296.79
156,0,0.0231183,-0.0167687,0.138271,941.041,-1190.18,297.193
157,0,0.0238912,-0.01584,0.138511,939.73,-1175.75,297.391
158,0,0.024399,-0.014418,0.139804,938.458,-1161.43,297.65
159,0,0.0235998,-0.0121893,0.140272,937.048,-1146.57,297.716
160,0,0.0214965,-0.0134004,0.132895,937.051,-1131.78,297.625
