Objects
100
,,Global Angle car_f1_1:car_f1_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.00176519,-0.00596495,-0.00425265,928.293,-2778,285.128
2,0,-0.00190826,-0.00628086,-0.00355214,928.304,-2777.87,285.096
3,0,-0.00237251,-0.00927309,0.00892222,926.861,-2778.37,285.098
4,0,-0.000772397,-0.00795098,0.00463755,927.459,-2778.64,285.17
5,0,0.00405798,-0.00483025,-0.00180158,927.837,-2779.23,285.249
6,0,0.0155066,-0.00847144,0.00170531,928.044,-2781.62,285.327
7,0,0.0258103,-0.00562692,0.00103976,928.565,-2781.06,286.424
8,0,0.0235215,-0.00335007,0.00345563,928.752,-2778.71,286.534
9,0,0.014048,-0.00186462,-0.00132044,929.544,-2774.16,286.25
10,0,0.00946992,0.00561,-0.0101585,930.631,-2770.86,286.03
11,0,0.00485617,0.0053798,-0.0130876,931.451,-2767.74,285.578
12,0,0.0153057,0.00189295,-0.00983979,931.227,-2765.87,286.46
13,0,0.0125639,8.55598e-005,-0.00540287,931.044,-2763.61,285.861
14,0,0.0180409,-0.000219036,0.000261415,930.238,-2761.97,286.123
15,0,0.028546,0.00131651,-0.00287525,930.66,-2758.22,287.716
16,0,0.0322388,0.00415923,-0.00239785,930.818,-2755.72,287.222
17,0,0.0314222,0.0077183,-0.00359379,931.479,-2752.19,287.131
18,0,0.0318574,0.00514394,-0.000774684,931.552,-2746.1,287.83
19,0,0.031418,0.00319518,0.00422968,931.321,-2740.03,287.652
20,0,0.0255332,0.00589858,0.00589406,931.291,-2733.29,287.412
21,0,0.0240706,0.00353808,0.0109984,930.689,-2726.46,287.608
22,0,0.0247609,0.00105587,0.0135837,929.97,-2719.79,287.915
23,0,0.0284992,0.000543125,0.0137088,930.99,-2714.26,287.95
24,0,0.0288791,0.00164082,0.00910234,931.274,-2708.14,288.138
25,0,0.026915,0.00400678,-0.000876118,932.475,-2701.93,287.562
26,0,0.0218943,0.00205354,0.00126624,932.501,-2694.99,286.69
27,0,0.0222185,0.000295979,0.00209229,932.102,-2688.43,286.498
28,0,0.0222712,-0.000674688,0.00223455,932.326,-2680.83,286.465
29,0,0.0233318,0.00053387,0.00118467,932.372,-2674.1,286.633
30,0,0.0173446,-0.00351265,0.00299476,932.21,-2666.01,286.543
31,0,0.0179375,-0.00334679,0.00161367,932.538,-2658.43,286.733
32,0,0.0192195,-0.00216524,9.61095e-005,932.578,-2651.51,286.657
33,0,0.0202404,-0.00422343,0.00154043,933.027,-2643.68,286.672
34,0,0.0183347,-0.0040432,0.00460201,932.613,-2636.27,286.429
35,0,0.0198739,-0.00302694,-0.000219828,932.934,-2628.97,286.796
36,0,0.0179435,-0.00504084,0.00441819,932.882,-2621.55,286.575
37,0,0.0180907,-0.00269415,0.00158023,933.239,-2613.5,286.694
38,0,0.0177665,-0.000373976,0.000345286,933.744,-2605.9,286.834
39,0,0.016587,-0.00379637,0.00410327,934.114,-2598.11,286.638
40,0,0.0180951,0.00221995,-0.00100053,934.656,-2590.19,286.954
41,0,0.0195297,-0.00139235,0.000851153,935.022,-2581.99,287.183
42,0,0.019652,-0.00224633,0.000470318,935.379,-2574.33,287.146
43,0,0.0213141,-0.00367214,0.000556661,935.295,-2566.19,287.339
44,0,0.0211204,-0.00365335,0.0012192,935.382,-2558.33,287.091
45,0,0.0232664,-0.00429322,0.00157012,934.696,-2550.02,287.793
46,0,0.0244459,-0.00418954,0.00397105,934.67,-2541.63,287.768
47,0,0.0226624,-0.00460792,0.00453016,934.732,-2533.36,287.574
48,0,0.0195079,-0.00644778,0.00345062,935.024,-2524.81,287.173
49,0,0.0213594,-0.00577993,0.000692942,936.069,-2516.36,287.2
50,0,0.0138268,-0.00468315,0.00201483,936.284,-2507.5,286.576
51,0,0.0210423,-0.0063369,0.000437197,936.746,-2498.89,287.375
52,0,0.0182283,-0.0044403,0.00251133,936.634,-2490.42,286.942
53,0,0.0215024,-0.00462998,0.0015677,937.66,-2481.02,287.169
54,0,0.022741,-0.00478727,0.00205447,938.097,-2472.46,287.289
55,0,0.0233211,-0.00507119,0.00137567,938.41,-2463.61,287.316
56,0,0.0220334,-0.00327731,0.00100706,938.88,-2454.31,287.249
57,0,0.0226477,-0.00409816,0.000518635,939.12,-2445.53,287.391
58,0,0.0226281,-0.00224645,0.00203923,939.281,-2436.16,287.481
59,0,0.02137,-0.00187557,0.000763943,939.801,-2427.15,287.653
60,0,0.0213559,-0.00177673,0.000612873,940.046,-2417.82,287.689
61,0,0.0216558,-0.000674447,-0.000289126,940.37,-2408.4,287.641
62,0,0.0205055,-0.000322235,0.000875624,940.497,-2398.78,287.572
63,0,0.0207301,-0.00165475,0.00166761,940.852,-2389.27,287.589
64,0,0.0222217,-0.00364333,0.000643655,941.163,-2379.63,287.696
65,0,0.0226854,-0.00506982,0.0019774,941.243,-2369.99,287.466
66,0,0.0218638,-0.00465302,0.000686326,941.417,-2360.31,287.654
67,0,0.0222994,-0.0060357,0.00183167,941.525,-2350.34,287.726
68,0,0.0221971,-0.00566546,0.000521854,941.849,-2340.51,287.674
69,0,0.0197966,-0.00524797,0.00185324,941.974,-2330.48,287.621
70,0,0.0215135,-0.00564166,0.00191638,942.164,-2320.37,287.819
71,0,0.0198694,-0.00518369,0.000385145,942.582,-2310.63,287.903
72,0,0.0208125,-0.00645784,-0.000147001,942.91,-2300.03,287.779
73,0,0.0208588,-0.00497655,0.000639799,943.635,-2289.79,287.895
74,0,0.0202511,-0.00320977,0.000911311,944.168,-2279.26,287.979
75,0,0.0204096,-0.00252806,0.0010263,944.712,-2268.8,288.117
76,0,0.0198314,-0.000892797,0.00103578,944.832,-2258.96,287.92
77,0,0.018494,-0.000735029,0.00127334,944.877,-2248.76,287.759
78,0,0.0204373,-0.00375322,0.00211004,945.204,-2238.17,288.13
79,0,0.0246477,-0.00574522,0.00574967,944.662,-2227.78,288.663
80,0,0.0224587,-0.00304555,-0.00155317,945.464,-2217.35,288.376
81,0,0.0217451,-0.00442454,-0.000937401,945.906,-2206.56,288.382
82,0,0.0195676,-0.0042814,0.000787863,946.258,-2195.1,288.374
83,0,0.0190743,-0.00201451,0.00245495,946.398,-2184.1,288.202
84,0,0.0175104,-0.00411839,0.0031641,946.832,-2173.42,288.077
85,0,0.0211878,-0.004817,-0.000600417,947.408,-2162.62,288.406
86,0,0.0182486,-0.003451,-0.000545487,948.006,-2151.33,288.364
87,0,0.0181737,-0.00408716,0.00106508,948.294,-2139.93,288.282
88,0,0.0179214,-0.00124265,0.00127577,948.772,-2128.75,288.373
89,0,0.01763,-0.00156992,0.00232234,949.229,-2118.05,288.527
90,0,0.0177326,-0.000872294,0.000568792,949.334,-2107.25,288.606
91,0,0.0185875,-0.00165235,-6.68568e-005,949.776,-2095.81,288.763
92,0,0.0175556,-0.00161197,0.00164941,950.037,-2084.64,288.471
93,0,0.0167026,-0.00432203,0.00309677,950.009,-2073.58,288.599
94,0,0.0185124,-0.00306303,0.00106176,950.241,-2062.17,288.815
95,0,0.0180195,-0.00325777,0.00268562,950.562,-2050.38,288.723
96,0,0.0175133,-0.00305877,-0.00189555,950.963,-2039.19,288.724
97,0,0.017587,-0.00435878,-0.000629201,950.919,-2027.67,288.842
98,0,0.0177403,-0.00605048,0.000459477,951.438,-2015.83,288.841
99,0,0.0177857,-0.00711071,0.000912877,951.757,-2004.19,288.963
100,0,0.0185404,-0.00618438,0.000894277,952.214,-1992.1,289.235
101,0,0.0181491,-0.00630807,-0.000140783,952.48,-1980.98,289.366
102,0,0.0183626,-0.00495496,0.00140368,952.987,-1968.99,289.391
103,0,0.019365,-0.00613195,0.00295315,953.136,-1957.18,289.623
104,0,0.021441,-0.00485606,0.000391443,953.677,-1946.07,289.896
105,0,0.023754,-0.00473282,0.000429417,954.08,-1933.99,290.035
106,0,0.0243692,-0.00611739,0.00289344,954.422,-1922.24,289.968
107,0,0.0263741,-0.00685734,0.00243451,954.532,-1909.95,290.271
108,0,0.0246985,-0.00623515,0.00307305,954.999,-1898.24,290.314
109,0,0.0236404,-0.00668508,0.00460557,955.238,-1885.63,290.327
110,0,0.022809,-0.0040702,0.00368759,956.028,-1873.12,290.29
111,0,0.0223831,-0.00437258,0.00384367,956.558,-1860.84,290.175
112,0,0.0225297,-0.00578328,0.00368625,957.047,-1848.56,290.166
113,0,0.0233467,-0.0043334,0.00277715,957.668,-1836.61,290.436
114,0,0.0213106,-0.00401802,0.00464018,957.997,-1824.09,290.501
115,0,0.0214674,-0.00196081,0.00494732,958.614,-1810.87,290.595
116,0,0.0202982,-0.00167865,0.00295308,959.201,-1798.76,290.728
117,0,0.0165667,-0.00442276,0.00210749,960.127,-1786.44,290.421
118,0,0.0222456,-0.000695896,0.00834233,959.661,-1773.45,291.209
119,0,0.0218228,-0.00143907,0.00426194,960.42,-1760.79,291.18
120,0,0.0203626,-0.000939734,0.00372444,960.766,-1747.88,291.062
121,0,0.0196403,-0.00127031,0.00456723,961.104,-1735,291.07
122,0,0.0201115,-0.00150751,0.00291471,961.229,-1722.42,291.3
123,0,0.0189001,-0.00602832,0.00549295,961.731,-1709.51,291.569
124,0,0.0154747,-0.00450915,0.00093167,962.47,-1696.69,291.205
125,0,0.0140761,-0.00847329,0.00185363,962.856,-1683.46,291.402
126,0,0.0143042,-0.00591105,0.00231585,963.353,-1670.54,291.595
127,0,0.0154825,-0.00477083,0.00144262,963.696,-1657.75,291.874
128,0,0.014896,-0.0078287,0.00395533,963.668,-1644.71,292.027
129,0,0.0164929,-0.00566202,0.00167638,964.039,-1631.82,292.27
130,0,0.0177915,-0.0070575,0.00160723,964.138,-1618.82,292.429
131,0,0.0186171,-0.00939813,0.0018677,964.329,-1605.94,292.621
132,0,0.0182086,-0.00945595,0.00369057,964.328,-1592.76,292.757
133,0,0.017115,-0.00989853,0.00465047,964.653,-1579.71,292.881
134,0,0.0161187,-0.0112979,0.003252,965.18,-1565.27,292.752
135,0,0.0156436,-0.0118238,0.0023111,965.206,-1552.11,292.773
136,0,0.01809,-0.0128008,0.000950975,965.649,-1538.8,292.936
137,0,0.0145018,-0.0114032,0.00278127,966.279,-1525.01,292.949
138,0,0.0151418,-0.0106462,0.00182279,966.65,-1511.58,293.09
139,0,0.0139265,-0.0110136,0.00335392,966.872,-1498.19,293.2
140,0,0.0181166,-0.0132716,0.00352008,967.225,-1484.53,293.821
141,0,0.0164339,-0.00935134,0.00463498,967.536,-1470.69,293.898
142,0,0.0196102,-0.00909177,0.00474922,967.293,-1457.19,294.018
143,0,0.0197828,-0.010389,0.00384876,967.76,-1443.54,294.094
144,0,0.0180728,-0.00910116,0.00426984,968.077,-1429.63,294.243
145,0,0.0207937,-0.0100908,0.0060282,968.063,-1415.91,294.734
146,0,0.0205651,-0.00936401,0.00578022,968.389,-1402,294.861
147,0,0.0202776,-0.00944479,0.00617952,968.789,-1388.1,294.948
148,0,0.0208515,-0.010774,0.00738549,969.127,-1374.23,295.231
149,0,0.0196567,-0.00546428,0.0053477,969.865,-1359.99,295.39
150,0,0.0216672,-0.00779061,0.00605162,970.336,-1346.57,295.689
151,0,0.0224246,-0.0089991,0.0064611,970.575,-1332.73,295.923
152,0,0.0239011,-0.0102705,0.00603651,970.853,-1318.75,296.191
153,0,0.0252965,-0.0104836,0.00644273,971.011,-1304.98,296.357
154,0,0.0252496,-0.0139815,0.00465343,971.499,-1291.16,296.295
155,0,0.0235938,-0.014588,0.00360779,972.129,-1277.22,296.169
156,0,0.0250763,-0.012818,0.00347029,972.328,-1262.54,296.468
157,0,0.0241161,-0.0123647,0.00359616,972.77,-1248.46,296.555
158,0,0.0211483,-0.0146541,0.00332185,973.504,-1234.18,296.417
159,0,0.0206935,-0.0154567,0.00331039,973.872,-1219.89,296.407
160,0,0.0202471,-0.0149073,0.0033314,974.293,-1205.46,296.492
161,0,0.0220087,-0.0135254,0.00279747,974.521,-1190.72,296.943
162,0,0.0199985,-0.01708,0.00237356,974.892,-1176.56,296.852
163,0,0.0203091,-0.0175697,0.00188043,975.235,-1162.14,297.083
164,0,0.019693,-0.0176138,0.00245124,975.907,-1147.83,297.33
165,0,0.0195337,-0.0164038,0.00110231,976.048,-1132.91,297.413
166,0,0.0198286,-0.0167987,0.000354378,976.366,-1118.14,297.426
167,0,0.0192532,-0.0184937,0.00116569,976.963,-1103.84,297.62
168,0,0.0196667,-0.0169663,0.000190516,977.06,-1088.74,297.624
169,0,0.0190154,-0.0167529,-0.000107709,977.548,-1073.92,297.752
170,0,0.0183342,-0.017407,0.00313771,977.912,-1059.75,298.371
171,0,0.0179356,-0.0157797,-1.98626e-005,978.586,-1044.21,298.436
172,0,0.0173526,-0.015413,0.0002898,978.754,-1029.41,298.762
173,0,0.0177705,-0.0162984,0.000860353,979.121,-1014.6,298.914
174,0,0.019201,-0.0191469,0.00313336,978.819,-1000.3,299.205
175,0,0.0205251,-0.0225517,0.000673817,978.822,-985.73,299.412
176,0,0.0198166,-0.0287281,-0.0026062,979.482,-971.279,299.599
177,0,0.0187808,-0.0331705,-0.00839917,979.667,-955.871,299.613
178,0,0.0165223,-0.037151,-0.0196098,980.897,-940.399,299.541
179,0,0.0144673,-0.0414135,-0.0257245,981.619,-925.273,299.621
180,0,0.0118581,-0.0415565,-0.0392116,983.166,-910.182,299.459
181,0,0.0105434,-0.0499022,-0.0492772,985.397,-895.124,299.819
182,0,0.00785052,-0.0518501,-0.0599583,987.551,-880.219,299.902
183,0,0.00512262,-0.0538498,-0.0725435,990.185,-865.001,299.934
184,0,0.0036765,-0.0561872,-0.0856888,992.976,-850.11,300.079
185,0,0.00257155,-0.0571151,-0.098727,996.006,-835.247,300.228
186,0,0.00181496,-0.0567799,-0.113392,999.273,-820.868,300.346
187,0,0.00388565,-0.0549166,-0.126724,1003,-805.989,300.841
188,0,0.000675667,-0.0556555,-0.139319,1006.95,-791.677,300.503
189,0,0.000551949,-0.0586101,-0.153804,1011.62,-777.073,301.017
190,0,0.00122581,-0.0559675,-0.164115,1015.73,-762.61,301.462
191,0,0.00269819,-0.0517496,-0.175814,1020.46,-747.979,301.776
192,0,0.00238853,-0.0524068,-0.188719,1025.58,-733.828,302.147
193,0,-0.000750326,-0.0551345,-0.204895,1031.24,-719.937,301.886
194,0,-0.00023202,-0.0543065,-0.218168,1036.32,-705.735,302.001
195,0,-0.00130976,-0.0598285,-0.229303,1041.73,-691.618,302.278
196,0,0.00201074,-0.0615226,-0.24147,1046.67,-677.525,302.949
197,0,-0.000659425,-0.0603693,-0.254159,1051.89,-663.356,302.643
198,0,0.00193744,-0.0631152,-0.267495,1058.13,-648.921,303.352
199,0,-0.00437029,-0.0616222,-0.285255,1064.78,-635.056,302.62
200,0,-0.00666938,-0.0659337,-0.297857,1071.54,-620.702,302.791
201,0,-0.00763637,-0.0643623,-0.311044,1078.49,-606.768,302.922
202,0,-0.0110048,-0.0594714,-0.321185,1084.71,-592.524,302.321
203,0,-0.00772274,-0.0599118,-0.333979,1091.82,-578.768,303.078
204,0,-0.00877542,-0.0615431,-0.347628,1099.49,-565.192,303.327
205,0,-0.00985028,-0.0622935,-0.361502,1107.04,-551.799,303.593
206,0,-0.0122717,-0.0622132,-0.375304,1114.8,-538.346,303.353
207,0,-0.0129499,-0.062703,-0.38969,1122.78,-524.954,303.723
208,0,-0.0173435,-0.0617497,-0.404785,1130.97,-511.514,303.342
209,0,-0.0187788,-0.059702,-0.418766,1139.42,-498.274,303.505
210,0,-0.0203062,-0.0622514,-0.4322,1148.4,-485.001,303.74
211,0,-0.0204617,-0.0619877,-0.447175,1156.94,-472.275,303.918
212,0,-0.0207707,-0.0584622,-0.461887,1165.71,-459.618,303.647
