Objects
100
,,Global Angle car_f1_1:car_f1_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.000363534,-0.00887636,-0.0285202,354.37,-2779.97,286.259
2,0,-0.000215697,-0.00899035,-0.0285173,354.406,-2779.98,286.286
3,0,-0.000439954,-0.00902782,-0.0291124,354.324,-2779.98,286.339
4,0,-0.000331413,-0.00878834,-0.0289243,354.415,-2779.95,286.291
5,0,-0.000440225,-0.00924758,-0.0286765,354.249,-2779.91,286.368
6,0,-0.000442869,-0.00900531,-0.0287584,354.258,-2779.92,286.389
7,0,-0.000267841,-0.00891816,-0.0284954,354.313,-2779.98,286.353
8,0,-0.000273931,-0.00969855,-0.0297472,354.413,-2780,286.357
9,0,3.8095e-005,-0.00934884,-0.0295605,354.502,-2779.96,286.272
10,0,0.00125617,-0.00871641,-0.0296181,354.36,-2780.14,286.456
11,0,0.00747683,-0.00946088,-0.0292571,354.133,-2780.65,286.913
12,0,0.0162708,-0.0049806,-0.0220817,354.047,-2780.7,286.919
13,0,0.0269065,0.00093592,-0.017944,353.519,-2779.74,288.188
14,0,0.0277571,0.00344645,-0.0128354,353.137,-2777.22,288.261
15,0,0.0328543,-0.00535672,-0.0156462,357.15,-2768.11,290.773
16,0,0.0283934,-0.0264678,-0.0135582,358.067,-2770.87,288.082
17,0,0.0294353,-0.0141639,-0.0143035,357.11,-2765.94,288.907
18,0,0.028328,-0.000879458,-0.027162,356.234,-2761.48,288.958
19,0,0.0291385,-0.00152989,-0.0285008,357.437,-2755.63,289.106
20,0,0.0299497,-0.000486865,-0.0282114,357.658,-2750.77,289.137
21,0,0.0331168,0.00246668,-0.0248707,356.971,-2743.46,289.859
22,0,0.0284297,0.000679148,-0.0277333,358.166,-2738.92,289.166
23,0,0.0334059,0.0181045,-0.0172747,356.301,-2731.78,289.488
24,0,0.0252754,-0.0177785,-0.00610674,358.834,-2725.58,288.787
25,0,0.0269847,-0.000733814,-0.0256359,358.758,-2716.95,289.371
26,0,0.023246,-0.000907502,-0.0231245,358.619,-2709.82,289.088
27,0,0.0256098,-0.00557448,-0.0216067,360.093,-2701.84,288.688
