Objects
100
,,Global Angle car_f1_1:car_f1_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.000923083,-0.00834481,0.12907,739.462,-2899.24,285.384
2,0,-0.00291644,-0.00886115,0.129877,739.229,-2899.17,285.218
3,0,-0.00273509,-0.00915138,0.130366,739.339,-2899.15,285.14
4,0,-0.00238446,-0.0087117,0.130659,739.379,-2899.14,285.016
5,0,0.000293994,-0.00690935,0.127763,739.702,-2899.52,285.251
6,0,0.000518388,-0.00931816,0.128544,739.525,-2899.78,285.123
7,0,0.00110654,-0.00961589,0.128834,739.543,-2899.67,284.964
8,0,0.000792087,-0.00868309,0.128655,739.464,-2899.63,285.078
9,0,0.000309464,-0.00943554,0.128532,739.437,-2899.68,285.102
10,0,0.000904839,-0.00885156,0.128944,739.542,-2899.75,285.052
11,0,0.000553723,-0.00956658,0.128954,739.428,-2899.72,285.156
12,0,0.00229505,-0.00837825,0.127229,739.533,-2899.67,285.477
13,0,-0.00220315,-0.00837862,0.13056,739.325,-2899.05,285.117
14,0,-0.00309342,-0.00917085,0.129801,739.19,-2899.04,285.252
15,0,-0.00248813,-0.00849398,0.130539,739.42,-2899.14,285.034
16,0,-0.00142671,-0.00838991,0.129638,739.47,-2899.47,284.978
17,0,-0.00177158,-0.00825411,0.128998,739.438,-2899.44,285.045
18,0,0.00287277,-0.0088323,0.128048,739.638,-2899.84,285.053
19,0,0.0114606,-0.0084114,0.126426,740.067,-2900.39,285.4
20,0,0.0186243,-0.00438762,0.12742,740.073,-2900.41,285.687
21,0,0.0262123,-0.00148945,0.127567,740.374,-2899.61,286.387
22,0,0.0249489,0.00508674,0.127025,740.106,-2895.48,287.047
23,0,0.0308627,0.00412441,0.127893,739.806,-2892.78,287.166
24,0,0.0303861,0.00367208,0.131534,739.292,-2888.28,287.36
25,0,0.0372699,0.0104968,0.127623,739.216,-2883.79,288.327
26,0,0.0323996,0.00896515,0.130659,738.829,-2879.14,287.691
27,0,0.0318602,0.010197,0.130782,738.689,-2873.96,287.731
28,0,0.034879,0.0116873,0.118337,740.75,-2863.9,290.235
29,0,0.0350236,0.0129684,0.118228,740.42,-2857.86,290.221
30,0,0.0361114,0.015917,0.116949,740.176,-2852.02,290.462
31,0,0.0330028,0.0135162,0.117002,739.52,-2845.49,290.043
32,0,0.0309542,0.0132978,0.114721,739.046,-2839.25,289.474
33,0,0.0309786,0.00990756,0.124105,736.045,-2836.32,288.016
34,0,0.0254538,0.00410978,0.130155,734.889,-2830.65,287.06
35,0,0.0253802,0.00602981,0.128927,733.867,-2823.88,286.993
36,0,0.0247482,0.00231963,0.129408,732.992,-2817.05,287.118
37,0,0.0271315,0.00421524,0.127908,732.426,-2809.87,287.294
38,0,0.0244195,0.00330708,0.130404,731.179,-2802.33,287.007
39,0,0.0249343,0.00206732,0.130619,730.55,-2794.87,287.264
40,0,0.0249653,0.000241869,0.131426,729.883,-2787.15,287.245
41,0,0.0280005,0.00275234,0.128736,729.202,-2779.2,287.786
42,0,0.0241131,0.00631399,0.129216,728.135,-2770.48,287.24
43,0,0.0270257,0.00438135,0.127057,727.67,-2760.01,288.291
44,0,0.0221782,0.000294216,0.132487,726.185,-2752.21,287.402
45,0,0.0233847,0.000415943,0.130361,725.425,-2743.99,287.431
46,0,0.019904,0.00259571,0.135484,722.943,-2734.42,286.818
47,0,0.019556,-0.000511091,0.12896,723.324,-2725.49,287.243
48,0,0.0182196,-0.00220273,0.129535,722.099,-2716.71,287.132
49,0,0.0172884,-0.00441801,0.129414,720.958,-2707.96,287.161
50,0,0.0170888,-0.00221951,0.128414,720.151,-2699.14,287.196
51,0,0.0190396,-0.00464216,0.129408,719.17,-2690.12,287.336
52,0,0.016674,-0.00561248,0.131302,718.072,-2681.04,287.123
53,0,0.0175807,-0.00427527,0.128279,717.022,-2671.49,287.105
54,0,0.0201092,-0.000424066,0.129276,716.046,-2662.45,287.256
55,0,0.0188119,-0.00272637,0.132242,714.896,-2653.6,287.023
56,0,0.0194153,-0.00166971,0.129718,714.192,-2644.1,287.417
57,0,0.0191112,-0.00126013,0.129105,713.099,-2634.76,287.159
58,0,0.0202558,-0.000512221,0.129793,712.385,-2625.55,287.354
59,0,0.0207868,0.000756804,0.129078,711.364,-2616.21,287.359
60,0,0.0206325,0.000537928,0.129321,710.57,-2606.69,287.722
61,0,0.023304,5.02686e-007,0.1273,709.711,-2596.73,288.015
62,0,0.0207601,-0.00469282,0.129354,709.487,-2587.17,287.518
63,0,0.0200801,-0.000446407,0.128645,707.884,-2576.87,287.714
64,0,0.0215666,-0.00307922,0.12843,706.976,-2567.06,287.792
65,0,0.0223212,-0.00329185,0.128758,705.919,-2557.3,287.794
66,0,0.0214942,-0.00151027,0.128423,704.788,-2547.7,287.667
67,0,0.0206458,-0.00238033,0.127986,703.968,-2537.42,287.858
68,0,0.0185122,-0.00139988,0.128053,703.128,-2526.68,287.733
69,0,0.0158464,-0.0029445,0.128755,701.917,-2516.8,287.412
70,0,0.0163957,-0.0036219,0.1293,700.65,-2506.76,287.427
71,0,0.0199896,-0.0026267,0.126999,700.101,-2496.69,287.92
72,0,0.0203547,-0.00364846,0.126987,698.917,-2486.52,288.044
73,0,0.0186874,-0.00423155,0.127876,697.889,-2476.19,287.844
74,0,0.0172921,-0.00142843,0.12545,696.655,-2465.28,287.87
75,0,0.0182535,-0.00244701,0.126998,695.391,-2454.74,288.188
76,0,0.0158576,-0.00391133,0.128035,694.294,-2444.53,287.698
77,0,0.0179434,-0.00216703,0.126,693.499,-2433.7,288.036
78,0,0.0167812,-0.00688803,0.128157,692.172,-2423.2,288.045
79,0,0.0173569,-0.00373239,0.129118,691.303,-2412.39,288.009
80,0,0.0168917,-0.00440162,0.125938,690.29,-2401.5,288.115
81,0,0.0160139,-0.00243462,0.126817,689.273,-2390.53,287.979
82,0,0.0176742,-0.00446189,0.127664,688.027,-2380.06,288.325
83,0,0.0161792,-0.0016686,0.127059,687.299,-2368.7,288.167
84,0,0.0160758,-0.00515668,0.128025,686.518,-2357.27,288.379
85,0,0.0156937,-0.00164431,0.128571,684.905,-2346.71,288.247
86,0,0.0153186,-0.00614416,0.13054,683.91,-2336.25,288.113
87,0,0.0173087,-0.00482966,0.128992,683.003,-2325.17,288.478
88,0,0.0196014,-0.00175493,0.126622,682.238,-2313.54,288.591
89,0,0.018709,-0.00163614,0.127541,680.94,-2302.1,288.351
90,0,0.0189783,-0.00140815,0.126873,680.01,-2291.11,288.424
91,0,0.0197131,-0.00183569,0.127509,678.908,-2279.09,288.339
92,0,0.02139,-0.00540957,0.125779,677.741,-2268.17,288.278
93,0,0.0210403,-0.00342166,0.126375,676.516,-2256.67,288.35
94,0,0.0197492,-0.00549008,0.126463,675.303,-2244.8,288.14
95,0,0.0189961,-0.00334482,0.12857,673.829,-2233.22,288.314
96,0,0.019987,-0.00470872,0.125977,672.738,-2221.68,288.595
97,0,0.0202251,-0.00484295,0.125879,671.51,-2209.83,288.469
98,0,0.0180327,-0.00497067,0.128155,670.431,-2197.64,288.331
99,0,0.0182478,-0.00527732,0.129011,668.742,-2185.86,288.417
100,0,0.019323,-0.00489469,0.126573,668.145,-2173.42,288.795
101,0,0.0198713,-0.00316458,0.125483,667.125,-2161.88,288.698
102,0,0.0175269,-0.00434491,0.126935,665.46,-2149.84,288.361
103,0,0.0192082,-0.00657928,0.126672,664.254,-2138.12,288.797
104,0,0.0192655,-0.00585158,0.125263,663.103,-2125.7,288.994
105,0,0.0200668,-0.00751099,0.126382,661.963,-2113.5,288.967
106,0,0.0185515,-0.0087584,0.127727,660.349,-2101.66,288.902
107,0,0.0194719,-0.00819186,0.125315,659.353,-2088.81,289.074
108,0,0.0161895,-0.0113956,0.130486,657.738,-2076.12,288.474
109,0,0.018307,-0.00524111,0.125,656.695,-2063.91,289.345
110,0,0.0181837,-0.00776082,0.12707,655.567,-2051.32,289.452
111,0,0.0171027,-0.00562246,0.127721,653.977,-2039.6,289.233
112,0,0.0193451,-0.00874277,0.128564,652.88,-2026.95,289.847
113,0,0.0215337,-0.00707213,0.126584,652.055,-2014.5,289.864
114,0,0.021631,-0.00734749,0.127078,650.724,-2001.58,289.853
115,0,0.0220475,-0.00456769,0.124802,649.526,-1989.52,289.825
116,0,0.0205914,-0.00868488,0.128752,648.208,-1976.96,289.788
117,0,0.0210294,-0.00376394,0.124494,647.287,-1963.86,289.899
118,0,0.0195933,-0.00623258,0.129305,645.775,-1950.75,289.781
119,0,0.0203545,-0.0036477,0.128978,644.8,-1937.58,290.164
120,0,0.0195913,-0.0038516,0.128518,643.832,-1924.59,290.032
121,0,0.0189849,-0.00357151,0.1283,642.359,-1911.99,289.863
122,0,0.0202499,-0.00246244,0.126569,641.335,-1898.87,290.172
123,0,0.0215263,-0.00296776,0.125216,640.396,-1885.47,290.438
124,0,0.0211507,-0.00357396,0.126098,639.158,-1872.45,290.509
125,0,0.0147196,-0.00407701,0.13121,636.836,-1859.6,289.377
126,0,0.0169979,-0.00309952,0.127744,635.756,-1846.43,290.046
127,0,0.0153375,-0.00335068,0.128889,634.198,-1833.19,289.783
128,0,0.0153048,-0.00562762,0.130929,632.763,-1819.6,290.013
129,0,0.0151907,-0.00441987,0.128688,631.248,-1806.6,290.128
130,0,0.0173417,-0.0067414,0.125543,630.225,-1793.09,290.959
131,0,0.0167308,-0.00779437,0.128219,628.5,-1779.42,290.594
132,0,0.017156,-0.00732335,0.128018,626.57,-1765.85,290.82
133,0,0.0162294,-0.00858261,0.128447,625.705,-1752.72,290.927
134,0,0.0170761,-0.00730307,0.127067,623.991,-1739.63,291.074
135,0,0.0167825,-0.0104105,0.127986,622.916,-1725.62,291.093
136,0,0.0183781,-0.00739367,0.12854,621.288,-1712.6,291.37
137,0,0.0171883,-0.00594753,0.129713,619.36,-1698.4,291.049
138,0,0.0189241,-0.00603368,0.129235,618.189,-1685.51,291.247
139,0,0.0182778,-0.00876317,0.126798,617.621,-1671.8,291.443
140,0,0.015639,-0.00666985,0.130129,615.938,-1657.29,291.383
141,0,0.0158194,-0.00418543,0.128151,614.781,-1643.43,291.56
142,0,0.0127477,-0.00649674,0.128684,613.494,-1629.14,291.169
143,0,0.0165493,-0.00366263,0.124787,612.723,-1615.8,291.867
144,0,0.0153898,-0.00500043,0.127313,611.46,-1601.78,291.773
145,0,0.0178369,-0.00363249,0.122847,610.589,-1587.84,292.246
146,0,0.0187031,-0.00189187,0.122255,609.441,-1573.8,292.612
147,0,0.0151225,-0.00645634,0.128149,607.606,-1559.38,292.173
148,0,0.0157405,-0.00251239,0.125535,606.327,-1545.88,292.398
149,0,0.0134185,-0.00295953,0.130833,604.593,-1531.35,292.032
150,0,0.0153516,0.000162988,0.128342,603.316,-1517.42,292.238
151,0,0.0160078,-0.00364213,0.12673,602.311,-1503.31,292.723
152,0,0.0163722,-0.0044228,0.125749,601.071,-1489.37,292.95
153,0,0.0161324,-0.00614102,0.126883,599.602,-1475.01,292.906
154,0,0.0155968,-0.00596587,0.127332,598.313,-1460.47,293.195
155,0,0.0155293,-0.00584528,0.126206,597.046,-1446.3,293.464
156,0,0.0159106,-0.00612252,0.12914,595.269,-1431.54,293.736
157,0,0.0173473,-0.00497035,0.123314,594.714,-1417.55,294.12
158,0,0.0189061,-0.0053828,0.126031,593.029,-1403.49,294.492
159,0,0.0194544,-0.00355574,0.125643,591.83,-1389.05,294.597
160,0,0.0194162,-0.00456494,0.124345,590.82,-1374.38,294.614
161,0,0.0188287,-0.0036021,0.129611,588.478,-1360.16,294.359
162,0,0.0184606,-0.00525049,0.127189,587.364,-1345.34,294.692
163,0,0.0212169,-0.000559623,0.122936,587.155,-1330.69,295.346
164,0,0.0227513,-0.00220985,0.122597,585.866,-1316.13,295.591
165,0,0.0207362,-0.00233896,0.122581,584.568,-1301.16,295.591
166,0,0.0198093,-0.00202845,0.122069,583.632,-1287.01,295.647
167,0,0.0202993,-0.000667587,0.121312,582.485,-1272.43,295.844
168,0,0.0203776,-0.00100953,0.121398,581.1,-1257.79,296.086
169,0,0.0201053,-0.000275095,0.121328,579.734,-1242.75,296.375
170,0,0.0193791,-0.00339048,0.121098,578.276,-1227.88,296.648
171,0,0.0209884,-0.00561208,0.121308,576.685,-1213.35,296.892
172,0,0.0202778,-0.00431365,0.121275,575.197,-1198.5,297.075
173,0,0.0218589,-0.00550439,0.120724,573.86,-1183.97,297.39
174,0,0.0211988,-0.00597038,0.119616,572.654,-1168.88,297.493
175,0,0.0203635,-0.00631463,0.120542,571.087,-1153.87,297.674
176,0,0.0192051,-0.00468033,0.120803,569.726,-1138.74,297.719
177,0,0.0220344,-0.00616901,0.120019,568.326,-1124.2,298.061
178,0,0.0234127,-0.00644634,0.120164,567.076,-1109.63,298.347
179,0,0.0240351,-0.00587995,0.120312,565.765,-1094.7,298.529
180,0,0.02422,-0.00512988,0.12108,564.446,-1079.9,298.532
181,0,0.0245621,-0.0042009,0.120334,563.225,-1064.6,298.795
182,0,0.0238999,-0.00361219,0.120548,562.113,-1049.68,299.005
183,0,0.0228476,-0.00305859,0.120312,560.998,-1034.32,299.126
184,0,0.021957,-0.00152528,0.120118,559.832,-1018.77,299.197
185,0,0.0215545,-0.00107708,0.120026,558.681,-1003.51,299.314
186,0,0.0216336,-0.00123256,0.12,557.417,-988.327,299.513
187,0,0.0211401,-0.00413831,0.121392,557.358,-974.07,300.044
188,0,0.0210909,-0.00422069,0.12154,555.986,-958.716,300.22
189,0,0.0205798,-0.00448384,0.121353,554.555,-943.329,300.445
190,0,0.0199674,-0.00449267,0.121464,553.156,-927.745,300.646
191,0,0.0192522,-0.00633985,0.121074,551.632,-912.344,300.824
192,0,0.0186957,-0.00765111,0.121246,550.128,-896.805,300.899
193,0,0.018519,-0.0069174,0.121215,548.593,-881.2,300.93
194,0,0.0184297,-0.00610001,0.121512,547.221,-865.68,300.996
195,0,0.01745,-0.0081904,0.121451,545.726,-849.994,301.236
196,0,0.0175935,-0.00646583,0.121827,544.229,-834.513,301.492
197,0,0.0175169,-0.00852148,0.121119,542.693,-818.899,301.778
