Objects
100
,,Global Angle car_f1_1:car_f1_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.00763348,-0.00340155,0.14547,776.791,-2826.47,284.715
2,0,-0.00682934,-0.00437184,0.142233,777.275,-2826.48,284.875
3,0,-0.00807793,-0.00729812,0.143842,777.228,-2826.52,285.257
4,0,-0.00794647,-0.00794272,0.142573,777.369,-2826.6,285.305
5,0,-0.00869025,-0.007557,0.142833,777.393,-2826.62,285.303
6,0,-0.00792718,-0.00716664,0.14273,777.404,-2826.67,285.399
7,0,-0.00810806,-0.00699759,0.142804,777.388,-2826.7,285.42
8,0,-0.00782087,-0.00647498,0.142683,777.412,-2826.73,285.401
9,0,-0.00788553,-0.00682306,0.14307,777.376,-2826.67,285.531
10,0,-0.00325789,-0.00812522,0.138913,777.37,-2827.98,285.595
11,0,-0.00460331,-0.00780708,0.14011,777.282,-2827.99,285.39
12,0,-0.00314549,-0.0082754,0.13922,777.413,-2827.99,285.39
13,0,-0.00345293,-0.00720386,0.139598,777.56,-2827.96,285.28
14,0,-0.00253412,-0.0067931,0.140184,777.407,-2827.84,285.063
15,0,-0.00344545,-0.0073435,0.139202,777.478,-2828.03,285.286
16,0,-0.00300311,-0.00777352,0.139625,777.546,-2827.92,285.188
17,0,-0.00151357,-0.00946769,0.140706,777.353,-2827.59,285.449
18,0,-0.00314154,-0.00796614,0.138964,777.449,-2827.93,285.322
19,0,-0.00318461,-0.00828994,0.13901,777.436,-2827.95,285.369
20,0,-0.00360512,-0.00714415,0.139549,777.553,-2827.94,285.43
21,0,-0.00314197,-0.00785916,0.139176,777.493,-2828,285.381
22,0,-0.0017273,-0.00608664,0.138942,777.772,-2828.11,285.377
23,0,0.00550418,-0.00519499,0.13984,777.971,-2828.53,285.188
24,0,0.0161648,-0.000497971,0.14067,777.619,-2828.62,286.213
25,0,0.0211658,0.00190187,0.143747,777.961,-2827.61,286.904
26,0,0.0159942,0.00401526,0.145189,777.314,-2825.45,286.542
27,0,0.0150595,0.00212286,0.146399,777.147,-2822.36,286.844
28,0,0.0108658,0.00101491,0.141277,777.477,-2819.21,286.451
29,0,0.00754766,0.00560505,0.141399,776.984,-2815.83,285.856
30,0,0.00791235,0.00507537,0.138411,776.839,-2813.3,285.891
31,0,0.00472229,7.43071e-005,0.145323,776.66,-2811.52,285.654
32,0,0.0138028,0.00845573,0.141516,776.304,-2807.5,287.392
33,0,0.0194597,0.00649886,0.142852,776.378,-2805,287.749
34,0,0.0198461,0.00813818,0.144409,776.435,-2801.74,287.242
35,0,0.0254831,0.00887019,0.143334,776.573,-2797.67,287.781
36,0,0.0239901,0.0110684,0.144906,775.611,-2792.57,287.886
37,0,0.0257998,0.0117961,0.139458,775.85,-2785.9,287.777
38,0,0.0208867,0.0135971,0.137592,775.585,-2779.19,287.828
39,0,0.0225185,0.0109499,0.130797,776.128,-2773.15,287.829
40,0,0.0211209,0.0127946,0.13139,775.255,-2766.93,287.676
41,0,0.0232057,0.0114233,0.134975,774.125,-2762.06,287.662
42,0,0.0232913,0.00678224,0.146887,772.022,-2756.8,287.339
43,0,0.023519,0.00910495,0.143842,771.615,-2750.11,287.241
44,0,0.0203459,0.0091885,0.147191,770.086,-2742.94,286.698
45,0,0.0261488,0.0046522,0.144443,769.87,-2736.31,287.05
46,0,0.0203199,0.00309806,0.147632,768.086,-2728.73,286.734
47,0,0.0184828,0.0111076,0.143225,766.957,-2721.75,286.555
48,0,0.0182732,0.00789479,0.144063,765.916,-2714.3,286.674
49,0,0.0172159,0.00363621,0.144522,765.023,-2706.59,286.906
50,0,0.0148979,0.00248838,0.144918,763.966,-2698.94,286.798
51,0,0.0168193,0.000665974,0.142779,763.193,-2691.52,287.357
52,0,0.0148362,-0.000164521,0.144726,761.79,-2684.31,286.849
53,0,0.0157207,0.00173763,0.142551,761.119,-2676.62,286.955
54,0,0.0126971,-0.000220654,0.147608,759.218,-2669.14,286.365
55,0,0.0198492,-0.00226224,0.142196,759.378,-2661.34,287.398
56,0,0.0171003,-0.00121908,0.145066,758.383,-2653.92,286.705
57,0,0.0160576,-0.00198701,0.146065,757.523,-2645.81,286.852
58,0,0.0163871,0.000360294,0.145222,756.838,-2637.75,287.103
59,0,0.0183192,0.000763195,0.143904,756.474,-2629.55,287.394
60,0,0.0166267,-0.000578514,0.148327,755.327,-2621.77,286.985
61,0,0.0186215,0.00244598,0.143196,755.1,-2613.91,287.381
62,0,0.0179339,0.00031798,0.146383,753.918,-2605.95,287.283
63,0,0.0165474,0.00313441,0.14541,752.956,-2597.43,287.104
64,0,0.019566,0.00124678,0.149642,751.273,-2589.14,287.489
65,0,0.0206631,0.000326517,0.142731,751.068,-2580.68,287.588
66,0,0.0198755,-0.000104808,0.144184,749.573,-2572.3,287.678
67,0,0.019868,-0.00294391,0.148886,747.788,-2563.72,287.745
68,0,0.0184898,-0.00320908,0.144025,747.257,-2555.35,287.767
69,0,0.0166886,-0.000316168,0.145201,745.296,-2546.62,286.996
