Objects
100
,,Global Angle car_f1_1:car_f1_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.0064371,0.0986488,-0.0333497,447.878,-3024.5,287.732
2,0,-0.0138423,0.123785,-0.0379499,447.413,-3022.53,288.456
3,0,-0.0166575,0.125526,-0.0378707,448.384,-3019.31,288.45
4,0,0.00398999,0.000221404,-0.0223219,449.318,-3017.54,286.181
5,0,0.00256635,-0.000599057,-0.0218492,449.493,-3014.96,286.033
6,0,0.0098256,0.00172503,-0.019359,448.799,-3012.74,286.955
7,0,0.0204334,-0.00139356,-0.0188547,448.827,-3011.1,287.725
8,0,0.0220341,-0.000537745,-0.0150905,448.715,-3009.52,287.199
9,0,0.026246,-0.00112089,-0.0127582,448.909,-3006.48,287.413
10,0,0.0292651,-0.00172487,-0.0107885,449.32,-3002.86,287.878
11,0,0.0290782,-0.000290427,-0.0131362,449.71,-2998.26,287.785
12,0,0.0318483,0.000414954,-0.00975392,451.22,-2991.89,287.32
13,0,0.0264437,0.00399293,-0.0168749,450.608,-2986.3,288.112
14,0,0.026081,-1.80946e-005,-0.0192585,451.462,-2980.79,287.472
15,0,0.0234966,0.00129916,-0.020708,452.32,-2974.55,286.962
16,0,0.0233004,0.00031939,-0.0223155,453.049,-2968.81,287.272
17,0,0.0240735,0.0018081,-0.0193112,453.047,-2962.4,287.009
18,0,0.0233863,0.000148531,-0.020855,453.662,-2956.44,286.979
19,0,0.0234233,0.00154214,-0.0190699,455.119,-2948.68,286.274
20,0,0.0241039,-0.00030299,-0.0223004,453.703,-2942.56,287.012
21,0,0.0238662,0.000991015,-0.0212945,453.907,-2935.19,287.165
22,0,0.0245155,-0.00208719,-0.0206111,454.751,-2928,286.877
23,0,0.0280575,0.000208861,-0.0148332,453.83,-2920.48,287.951
24,0,0.0258958,0.00119724,-0.0171354,454.669,-2912.78,287.756
25,0,0.0195723,0.000370328,-0.0216003,455.79,-2904.46,287.054
26,0,0.0195518,-0.00113575,-0.0208929,456.484,-2896.86,286.661
27,0,0.0191278,-0.0020251,-0.0208338,456.591,-2888.83,286.722
28,0,0.0187689,-0.00156086,-0.0213363,456.969,-2880.99,286.664
29,0,0.0210326,-0.00264806,-0.0207652,457.045,-2873.03,286.463
30,0,0.0206354,-0.00493338,-0.019915,457.353,-2865.35,286.585
31,0,0.0203852,-0.00401133,-0.0199334,458.783,-2856.99,286.002
32,0,0.019848,-0.00246943,-0.0178495,458.698,-2848.77,286.138
33,0,0.0209406,-0.00571945,-0.0188561,458.913,-2840.56,286.194
34,0,0.0205753,-0.00861896,-0.0198288,458.437,-2832.48,286.641
35,0,0.0197185,-0.0107726,-0.0204365,459.182,-2824.02,286.593
36,0,0.0204499,-0.00977881,-0.0182095,459.243,-2815.44,286.779
37,0,0.0195213,-0.0127566,-0.0194027,459.424,-2807.09,287.01
38,0,0.0205795,-0.0102927,-0.017679,460.117,-2798.45,286.894
39,0,0.0241096,-0.013106,-0.0138993,458.549,-2790.33,288.355
40,0,0.0200782,-0.0105133,-0.02,460.774,-2781.33,287.011
41,0,0.0203406,-0.0117005,-0.0178845,461.285,-2772.74,286.908
42,0,0.0205489,-0.00874995,-0.0176882,461.554,-2763.89,286.839
43,0,0.021212,-0.0116843,-0.0166458,462.454,-2754.48,286.831
