Objects
100
,,Global Angle car_f1_1:car_f1_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.00410997,-0.0151875,0.0908637,310.124,-2726.18,285.645
2,0,0.00374933,-0.0156384,0.0905769,310.235,-2726.21,285.612
3,0,0.00391238,-0.0150082,0.0909349,310.166,-2726.2,285.581
4,0,0.00429108,-0.0168769,0.0919625,310.259,-2726.09,285.556
5,0,0.00349918,-0.0135605,0.0909516,309.841,-2726.25,285.629
6,0,0.00382675,-0.018669,0.0919479,310.337,-2726.1,285.562
7,0,0.00393287,-0.0155041,0.0915474,310.224,-2726.04,285.694
8,0,0.00442958,-0.0173275,0.0925459,310.418,-2726.1,285.564
9,0,0.00435111,-0.0166836,0.0922196,310.282,-2726.07,285.668
10,0,0.0037101,-0.0152802,0.0917655,310.069,-2726.26,285.686
11,0,0.00391399,-0.0149582,0.0907723,310.094,-2726.21,285.669
12,0,0.00363815,-0.0133367,0.0897288,309.887,-2726.19,285.721
13,0,0.00387643,-0.0142392,0.0903746,309.964,-2726.17,285.657
14,0,0.00339073,-0.0145277,0.0899139,310.094,-2726.19,285.651
15,0,0.00370366,-0.0182866,0.0931758,310.293,-2726.17,285.629
16,0,0.00418384,-0.0173558,0.0918835,310.405,-2726.09,285.608
17,0,0.00428692,-0.0175035,0.092449,310.423,-2726.09,285.579
18,0,0.00345869,-0.0140955,0.0899959,310.003,-2726.2,285.705
19,0,0.00406727,-0.016131,0.0913297,310.12,-2726.11,285.651
20,0,0.00390872,-0.0143356,0.0903725,309.969,-2726.17,285.573
21,0,0.00498014,-0.013443,0.0911319,310.276,-2726.08,285.427
22,0,0.00789769,-0.0199049,0.0922114,310.634,-2726.29,285.988
23,0,0.017496,-0.0195324,0.0953687,310.681,-2726.33,286.015
24,0,0.0217404,-0.0109121,0.0977082,310.649,-2725.76,286.432
25,0,0.0185221,-0.0081759,0.0966184,311.257,-2723.4,286.679
26,0,0.0165042,-0.00982261,0.0985501,311.412,-2720.88,286.581
27,0,0.0136179,-0.0154177,0.0951494,310.92,-2718.99,286.978
28,0,0.00993463,-0.011487,0.0920924,311.077,-2716.01,286.821
29,0,0.00944949,-0.0123227,0.0912104,311.14,-2713.59,286.832
30,0,0.0145012,-0.0112579,0.0914111,311.045,-2712.2,286.839
31,0,0.0180771,-0.00615184,0.0946562,311.922,-2709.38,286.615
32,0,0.0216286,-0.0049601,0.0942009,311.431,-2706.92,286.815
33,0,0.026714,-0.00803703,0.0981483,311.06,-2704.44,287.219
34,0,0.0245378,-0.00312522,0.0978602,311.046,-2699.41,288.014
35,0,0.0268524,-0.00816952,0.100424,310.993,-2694.73,287.85
36,0,0.0259442,-0.00600444,0.100582,310.822,-2689.11,288.05
37,0,0.0275082,-0.00838012,0.0964208,310.251,-2684.08,288.131
38,0,0.0248437,-0.00401861,0.0923051,309.315,-2678.27,288.478
39,0,0.0254626,-0.00956998,0.094467,309.699,-2671.61,288.078
40,0,0.0238007,-0.00409557,0.0969883,308.942,-2665.79,288.058
41,0,0.0246009,-0.00411399,0.0970261,308.587,-2659.41,287.958
42,0,0.0238912,-0.00539752,0.0953189,308.538,-2652.44,287.691
43,0,0.0228082,-0.00442201,0.0960955,307.486,-2645.42,287.804
44,0,0.0218584,-0.00663392,0.0962014,307.617,-2637.71,287.757
45,0,0.0217911,-0.00402155,0.0944403,306.282,-2631.08,287.993
46,0,0.0226993,-0.00624725,0.0958388,306.012,-2623.41,287.958
47,0,0.0201186,-0.00588122,0.0976854,305.851,-2615.83,287.743
48,0,0.0195427,-0.00420684,0.0951723,305.046,-2608.08,287.85
49,0,0.0189257,-0.00609383,0.0942984,304.307,-2601,287.821
50,0,0.0183072,-0.00736135,0.0952825,303.809,-2593.51,287.879
51,0,0.0183572,-0.00822879,0.0970096,302.86,-2586.08,287.889
52,0,0.0185833,-0.00945754,0.0976385,302.657,-2578.2,287.594
53,0,0.0186643,-0.00732874,0.096972,302.09,-2570.31,287.597
