Objects
100
,,Global Angle car_f1_1:car_f1_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.106731,-0.0475954,2.57898,1053.99,-455.855,305.139
2,0,0.109941,-0.0512471,2.56545,1042.82,-468.865,305.495
3,0,0.111164,-0.0551884,2.55388,1032.28,-481.725,305.413
4,0,0.109889,-0.0594397,2.53899,1021.22,-493.969,305.035
5,0,0.11102,-0.0579374,2.52702,1010.07,-505.832,304.77
6,0,0.10719,-0.0549242,2.51376,998.688,-517.46,304.571
7,0,0.108015,-0.0536488,2.49903,987.271,-528.668,304.19
8,0,0.106049,-0.0528505,2.4848,975.556,-540.048,303.833
9,0,0.108793,-0.0572358,2.47263,963.333,-551.395,303.669
10,0,0.106654,-0.0574267,2.45754,951.273,-563.391,303.666
11,0,0.10646,-0.0586847,2.44223,939.238,-574.369,303.645
12,0,0.107755,-0.0614674,2.42896,926.773,-585.244,303.506
13,0,0.108201,-0.0613033,2.41503,914.213,-596.359,303.683
14,0,0.108489,-0.0627492,2.40061,901.634,-607.196,303.554
15,0,0.111203,-0.0642306,2.38543,888.454,-617.757,303.497
16,0,0.109296,-0.0648793,2.37105,875.625,-628.042,303.304
17,0,0.108478,-0.0643744,2.35727,862.562,-638.043,303.214
18,0,0.104899,-0.0632193,2.34254,849.237,-648.081,303.227
19,0,0.100786,-0.0637385,2.3286,835.938,-657.81,302.97
20,0,0.098701,-0.0651749,2.3139,821.851,-667.608,302.926
21,0,0.0990116,-0.0654117,2.30002,808.331,-676.94,302.88
22,0,0.0999237,-0.0658273,2.28561,794.627,-686.159,302.862
23,0,0.0997412,-0.0652353,2.27186,780.87,-695.187,302.78
24,0,0.101692,-0.0659496,2.25784,766.958,-704.08,302.635
25,0,0.103362,-0.0675981,2.24285,752.479,-712.933,302.529
26,0,0.104212,-0.0699099,2.22991,737.841,-721.595,302.488
27,0,0.103734,-0.070815,2.21545,723.283,-729.919,302.357
28,0,0.105541,-0.0702472,2.20114,708.463,-738.009,302.259
29,0,0.104098,-0.0722713,2.1865,694.081,-745.392,301.985
30,0,0.105272,-0.0717875,2.172,679.591,-753.222,301.967
31,0,0.108763,-0.0728097,2.15656,664.755,-760.77,301.892
32,0,0.107966,-0.0733116,2.14229,649.764,-768.311,301.934
33,0,0.10869,-0.0753662,2.12757,634.435,-775.148,301.974
34,0,0.105617,-0.0754737,2.11266,618.982,-781.874,302.138
35,0,0.103381,-0.0751854,2.09894,603.483,-788.316,302.186
36,0,0.100627,-0.0742709,2.08338,588.037,-794.079,302.146
37,0,0.0987087,-0.0733939,2.0703,572.148,-800.334,302.089
38,0,0.0973161,-0.0728055,2.05641,556.385,-805.781,302.038
39,0,0.0962706,-0.0726357,2.04189,540.772,-811.317,302.058
40,0,0.0971085,-0.073139,2.02988,525.107,-816.805,301.957
41,0,0.0979229,-0.0737036,2.01435,509.224,-822.2,302.056
42,0,0.0974633,-0.0760402,2.00042,493.239,-827.295,302.165
43,0,0.0950654,-0.0759535,1.98672,476.985,-831.948,302.16
44,0,0.094297,-0.076933,1.97242,460.624,-836.496,302.098
45,0,0.093931,-0.0763044,1.95636,444.292,-840.568,301.992
46,0,0.0922488,-0.0754822,1.93979,428.254,-844.895,301.846
47,0,0.0935444,-0.0761718,1.92575,412.008,-848.85,301.742
48,0,0.093796,-0.0775949,1.91357,395.631,-852.719,301.594
49,0,0.094217,-0.0776892,1.89688,379.135,-855.938,301.438
50,0,0.0945876,-0.0792736,1.88271,362.787,-859.43,301.297
51,0,0.0963536,-0.0822217,1.86892,345.986,-863.029,301.471
52,0,0.0965319,-0.0854195,1.8558,329.579,-866.231,301.381
53,0,0.0969035,-0.0878229,1.84204,312.697,-868.913,301.604
54,0,0.09511,-0.089114,1.8282,295.837,-871.245,301.778
55,0,0.091113,-0.0894111,1.81467,278.887,-873.276,301.83
56,0,0.0913893,-0.0900981,1.80101,261.844,-874.869,301.978
57,0,0.0878168,-0.0897552,1.78785,244.743,-876.186,301.995
58,0,0.0877146,-0.090889,1.77252,227.81,-877.305,302.074
59,0,0.0834915,-0.0907099,1.75979,210.572,-877.939,302.008
60,0,0.0809736,-0.0902313,1.7461,193.686,-878.342,301.908
61,0,0.0806348,-0.0906783,1.73123,176.667,-878.861,301.852
62,0,0.081296,-0.0917454,1.71563,160.017,-878.722,301.7
63,0,0.0810768,-0.0911571,1.70035,143.144,-878.781,301.503
64,0,0.08264,-0.0926165,1.68731,126.098,-878.864,301.279
65,0,0.0830312,-0.0943539,1.67401,109.097,-878.977,300.938
66,0,0.0810629,-0.0973215,1.6604,91.9633,-878.617,300.451
67,0,0.0856813,-0.0950143,1.65059,75.0876,-879.138,301.176
68,0,0.085775,-0.0950454,1.63593,57.9713,-877.969,301.058
69,0,0.0823083,-0.100968,1.61403,40.6364,-875.148,300.259
70,0,0.079783,-0.100499,1.59848,23.0987,-873.411,300.305
71,0,0.0778349,-0.100076,1.58365,6.19162,-871.501,300.457
72,0,0.0766531,-0.0994136,1.57187,-10.0114,-869.499,300.562
73,0,0.0747827,-0.0986877,1.55796,-27.3109,-866.784,300.763
