Objects
100
,,Global Angle car_f1_1:car_f1_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.114611,-0.0309479,2.68731,1281.38,-55.2922,305.15
2,0,0.111663,-0.0286885,2.67345,1272.42,-69.1486,305.113
3,0,0.117093,-0.0320046,2.65975,1263.05,-82.175,305.057
4,0,0.114814,-0.0312075,2.64476,1253.66,-95.9506,305.018
5,0,0.118235,-0.0344768,2.62901,1243.72,-108.818,304.759
6,0,0.115834,-0.0338564,2.61298,1233.6,-122.1,304.62
7,0,0.115431,-0.0362559,2.60139,1223.74,-135.347,304.622
8,0,0.113157,-0.0356378,2.58658,1212.8,-148.201,304.842
9,0,0.112628,-0.0381347,2.57779,1202.23,-160.792,305.021
10,0,0.11541,-0.0397619,2.56428,1191.83,-173.264,305.398
11,0,0.110606,-0.0386339,2.54545,1180.9,-185.322,305.692
12,0,0.110047,-0.0383099,2.5305,1169.66,-198.199,305.526
13,0,0.110773,-0.0428296,2.51765,1158.38,-210.005,305.141
14,0,0.107679,-0.0431833,2.50406,1146.7,-222.473,305.433
15,0,0.111713,-0.0455399,2.48675,1135.34,-234.441,305.873
16,0,0.106907,-0.0454139,2.47312,1122.99,-245.351,305.976
17,0,0.104595,-0.0467974,2.45965,1110.66,-256.489,305.462
18,0,0.105419,-0.0497179,2.44634,1097.93,-267.733,304.889
19,0,0.105118,-0.052,2.43297,1085.3,-278.95,304.767
20,0,0.101953,-0.0518862,2.41759,1073.07,-289.881,304.975
21,0,0.101543,-0.052823,2.40244,1060.25,-300.061,305.012
22,0,0.0980812,-0.0541788,2.38722,1047.48,-310.175,304.923
23,0,0.0996768,-0.0556314,2.37289,1034.34,-321.107,305.1
24,0,0.0986889,-0.0573212,2.35823,1021.22,-331.737,304.948
25,0,0.0966591,-0.0576418,2.34491,1007.72,-341.909,305.004
26,0,0.0953697,-0.0578604,2.3309,994.061,-351.399,305.081
27,0,0.0931412,-0.0585495,2.31387,981.317,-361.287,305.431
28,0,0.0927351,-0.0584814,2.3017,967.459,-370.355,305.327
29,0,0.0959256,-0.0589683,2.28826,953.195,-378.839,305.195
30,0,0.0929041,-0.0559663,2.27312,939.622,-387.792,304.704
31,0,0.0948215,-0.0562235,2.25722,925.75,-396.692,304.385
32,0,0.0947375,-0.0585616,2.24545,912.059,-405.408,304.151
33,0,-0.0448184,-0.0199369,2.22168,899.689,-415.264,305.925
34,0,0.0962044,-0.0627071,2.2183,883.069,-421.964,304.167
35,0,0.0971544,-0.0636332,2.20524,868.827,-430.037,304.417
36,0,0.0979912,-0.0636426,2.19187,854.569,-437.946,304.56
37,0,0.0963241,-0.0631187,2.17496,839.481,-445.695,304.286
38,0,0.0974565,-0.0639768,2.1615,824.446,-453.009,303.994
39,0,0.0976501,-0.0649109,2.14686,809.264,-460.774,304.272
40,0,0.0975377,-0.0683159,2.13126,794.509,-467.959,304.481
41,0,0.0994435,-0.0695099,2.11864,779.456,-474.298,304.53
42,0,0.0941215,-0.0678576,2.1105,763.805,-481.316,304.974
43,0,0.0917877,-0.0698982,2.08898,747.725,-487.221,304.52
44,0,0.0920927,-0.0699216,2.07403,732.138,-493.314,304.272
45,0,0.090499,-0.0682657,2.0594,716.644,-498.235,304.247
46,0,0.0895479,-0.0672383,2.04626,701.216,-502.912,304.225
47,0,0.0864327,-0.0662247,2.03255,685.821,-508.1,304.149
48,0,0.0874702,-0.0654727,2.0182,670.221,-513.43,304.01
49,0,0.0888037,-0.0661895,2.0025,654.058,-518.394,303.388
50,0,0.088096,-0.067148,1.9883,637.834,-523.287,302.927
51,0,0.0872449,-0.0674671,1.97533,621.526,-528.458,303.411
52,0,0.0860043,-0.0687254,1.96158,605.71,-532.81,303.901
53,0,0.0863659,-0.0676942,1.94618,589.374,-536.329,304.375
54,0,0.0866871,-0.0696955,1.93364,573.391,-540.311,304.586
55,0,0.0890994,-0.0711096,1.91882,557.038,-544.691,304.912
56,0,0.0886688,-0.0714468,1.9029,540.68,-549.107,304.969
57,0,0.0879388,-0.0731323,1.88937,524.139,-552.503,304.653
58,0,0.0870641,-0.076729,1.87494,507.04,-555.05,304.402
59,0,0.0859089,-0.0754358,1.86203,490.514,-557.66,304.531
60,0,0.0842563,-0.0765683,1.84611,474.056,-559.661,304.31
