Objects
100
,,Global Angle car_f1_1:car_f1_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.0046466,-0.0146427,-0.00995794,361.63,-2810.1,286.352
2,0,0.00476301,-0.0156073,-0.00780759,362.054,-2810,286.057
3,0,0.00435963,-0.0149572,-0.0101693,361.541,-2810.08,286.404
4,0,0.00448586,-0.0149488,-0.00986757,361.786,-2810.15,286.255
5,0,0.0039737,-0.0152917,-0.0102541,361.606,-2810.17,286.52
6,0,0.00391914,-0.0155489,-0.0102166,361.685,-2810.22,286.504
7,0,0.00394636,-0.0152741,-0.0101463,361.555,-2810.19,286.583
8,0,0.00418167,-0.0162079,-0.00944374,361.609,-2810.19,286.49
9,0,0.00395697,-0.0154169,-0.0102379,361.536,-2810.18,286.57
10,0,0.00398003,-0.0158069,-0.0100588,361.696,-2810.2,286.484
11,0,0.00382438,-0.0156654,-0.0101217,361.653,-2810.17,286.477
12,0,0.00389051,-0.0158828,-0.0101155,361.681,-2810.18,286.441
13,0,0.00436085,-0.0145392,-0.0100121,361.676,-2810.13,286.333
14,0,0.0043488,-0.0152179,-0.00950589,361.855,-2810.15,286.185
15,0,0.00420628,-0.0148008,-0.010312,361.896,-2810.18,286.187
16,0,0.0040103,-0.015291,-0.0102826,361.603,-2810.16,286.508
17,0,0.00397478,-0.0158048,-0.0101448,361.741,-2810.2,286.449
18,0,0.00404678,-0.0159119,-0.0100567,361.724,-2810.2,286.466
19,0,0.00382432,-0.0154765,-0.0100498,361.559,-2810.17,286.494
20,0,0.00382677,-0.0156352,-0.0101674,361.663,-2810.21,286.494
21,0,0.00442272,-0.014806,-0.00990583,361.592,-2810.13,286.38
22,0,0.00315057,-0.0157454,-0.00938046,361.61,-2810.09,286.427
23,0,0.00368791,-0.0147319,-0.0112137,361.695,-2810.39,286.491
24,0,0.0101094,-0.0169872,-0.00944326,361.622,-2810.89,286.576
25,0,0.020337,-0.0132719,-0.00953581,361.667,-2811.68,287.032
26,0,0.0265389,-0.00472808,-0.00729008,362.571,-2810.51,287.354
27,0,0.0229248,-0.00596102,-0.00502578,362.299,-2808.76,287.335
28,0,0.0166224,-0.0111176,-0.00680682,362.274,-2806.78,286.929
29,0,0.0126073,-0.0100225,-0.00717307,362.441,-2803.38,287.052
30,0,0.00892194,-0.00793393,-0.0100433,362.901,-2799.9,286.529
31,0,0.00757136,-0.0115863,-0.0104616,363.48,-2797.21,286.533
32,0,0.0169039,-0.00481907,-0.0134408,363.3,-2795.48,287.348
33,0,0.0194901,-0.00531807,-0.00222442,365.499,-2788.19,289.327
34,0,0.0228664,-0.0178691,0.00472206,365.129,-2787.1,288.137
35,0,0.0264562,-0.00940347,0.00324754,365.014,-2783.05,288.766
36,0,0.0305621,-0.00884185,0.00314788,365.833,-2779.46,289.019
37,0,0.0252038,-0.00764068,0.00266465,366.015,-2774.58,288.512
38,0,0.0358046,-0.00232578,0.00430046,365.645,-2770.65,287.898
39,0,0.0307973,-0.00225597,0.00600463,365.085,-2764.51,288.154
40,0,0.0302282,-0.000716967,0.00342213,365.219,-2758.61,288.401
41,0,0.0274241,0.000718678,-0.00364809,366.692,-2754.09,287.654
42,0,0.0275621,0.000587078,-0.00329608,367.255,-2747.69,287.286
43,0,0.0302847,0.00179865,-0.00657685,367.605,-2741.41,287.808
44,0,0.0281675,0.00222444,-0.00788479,367.981,-2734.3,287.717
45,0,0.0203141,0.00394933,-0.0059652,367.036,-2727.11,287.065
46,0,0.024227,-0.000760844,-0.00478907,367.878,-2720.1,287.147
47,0,0.0224721,-0.0037112,-0.00492718,367.622,-2712.57,287.334
48,0,0.0219654,-0.00835683,-0.00465439,367.162,-2704.99,287.686
49,0,0.013135,-0.00439036,-0.00424075,367.977,-2697.18,286.534
50,0,0.0148996,-0.00576312,-0.00414803,367.677,-2689.74,287.338
51,0,0.0139803,-0.00651647,-0.00464602,367.921,-2682.27,286.899
52,0,0.0176825,-0.00534133,-0.00491547,367.951,-2674.4,287.684
53,0,0.0165295,-0.00461302,-0.00725518,368.349,-2666.86,287.284
54,0,0.0151798,-0.00717104,-0.00496548,368.316,-2659.92,286.967
55,0,0.0178245,-0.00839294,-0.00539575,368.635,-2652.29,287.698
56,0,0.0164402,-0.00821307,-0.00409961,368.818,-2644.52,287.359
57,0,0.0123258,-0.00805128,-0.00483903,369.531,-2636.73,287.108
58,0,0.0140766,-0.00682688,-0.00505224,369.817,-2628.72,287.142
59,0,0.0140209,-0.00627167,-0.00576475,370.662,-2621.12,287.217
60,0,0.0134887,-0.00438717,-0.00681981,371.171,-2612.97,287.427
61,0,0.0155607,-0.00620264,-0.0062928,371.641,-2605.15,287.716
62,0,0.0161417,-0.00562248,-0.00617107,372.273,-2597.14,287.408
63,0,0.0159479,-0.00633187,-0.00515937,372.623,-2588.92,287.359
64,0,0.0145636,-0.0010521,-0.00930404,372.464,-2581.09,287.427
65,0,0.0162991,-0.00549375,-0.00674759,373.112,-2572.67,287.306
66,0,0.0173473,-0.00166469,-0.00849244,372.803,-2564.35,287.641
67,0,0.0165591,-0.00465643,-0.00641931,372.806,-2555.91,287.464
68,0,0.0168857,-0.00519079,-0.0102395,373.585,-2547.29,287.638
69,0,0.0171512,-0.00692528,-0.0101149,374.766,-2538.37,287.6
70,0,0.0176237,-0.00325208,-0.0102352,374.7,-2529.23,288.223
71,0,0.0187623,-0.00240819,-0.00997801,375.194,-2520.82,288.183
72,0,0.0172914,-0.00375289,-0.0135781,375.343,-2512.68,288.071
73,0,0.0194454,-0.00451767,-0.0142447,375.667,-2504.14,288.036
74,0,0.0200191,-0.00966454,-0.0144428,375.071,-2495.38,288.108
75,0,0.0196855,-0.0128013,-0.0155439,375.366,-2486.41,287.863
76,0,0.0186194,-0.0124742,-0.0157023,375.388,-2477.06,287.888
77,0,0.0208917,-0.0125298,-0.0116785,375.216,-2467.44,288.119
78,0,0.0174768,-0.0111427,-0.0159742,376.475,-2458.09,287.743
79,0,0.0156121,-0.00814016,-0.0167245,376.939,-2449.05,287.678
80,0,0.0161824,-0.0102437,-0.0133347,377.404,-2439.39,287.935
81,0,0.0145389,-0.00980517,-0.0160029,378.205,-2430.29,287.846
82,0,0.0158326,-0.0105921,-0.0161262,378.847,-2420.5,287.861
83,0,0.0155397,-0.00783539,-0.0159474,379.065,-2411.27,287.962
84,0,0.0157576,-0.00806176,-0.0143171,379.682,-2401.95,287.745
85,0,0.0165567,-0.00901347,-0.0165509,380.29,-2392.36,287.99
86,0,0.0161649,-0.00794013,-0.0170855,380.285,-2382.61,288.105
87,0,0.0145322,-0.01084,-0.0147717,380.402,-2373,287.929
88,0,0.0151703,-0.00783819,-0.0186936,381.276,-2362.55,288.151
89,0,0.0140597,-0.0106646,-0.0179219,381.553,-2352.68,288.169
90,0,0.0154284,-0.0122716,-0.0187876,381.965,-2342.72,288.394
91,0,0.0156564,-0.0116932,-0.0185561,382.723,-2332.93,288.164
92,0,0.0165969,-0.00991719,-0.0178078,382.777,-2322.69,288.466
93,0,0.0168328,-0.0118321,-0.0186116,383.835,-2312.12,288.633
94,0,0.0133576,-0.0142706,-0.0130889,383.912,-2302.18,288.166
95,0,0.0138692,-0.00803328,-0.0195803,385.083,-2291.44,288.679
96,0,0.0166053,-0.0093359,-0.0167133,385.395,-2281.42,288.664
97,0,0.0137062,-0.00953539,-0.0146147,385.775,-2270.99,288.386
98,0,0.0152863,-0.00843308,-0.0143191,386.39,-2260.83,288.202
99,0,0.0211195,-0.0095153,-0.0160923,386.898,-2250.74,288.973
100,0,0.020224,-0.0120688,-0.0167868,387.491,-2240.07,288.782
101,0,0.0180489,-0.00995055,-0.0158721,387.496,-2228.82,288.961
102,0,0.0163337,-0.00874307,-0.0199076,388.518,-2218.41,288.926
103,0,0.0164028,-0.00634908,-0.0206862,388.592,-2207.94,288.943
104,0,0.0171292,-0.00515614,-0.0230227,389.454,-2196.88,288.918
105,0,0.0156889,-0.00803902,-0.0232824,389.412,-2186.35,288.683
106,0,0.0186022,-0.0126502,-0.0249985,389.773,-2175.17,289.097
107,0,0.0179493,-0.0144229,-0.0236505,390.206,-2164.58,289.136
108,0,0.0153917,-0.0152733,-0.0243991,390.653,-2152.98,289.456
109,0,0.0132221,-0.0149836,-0.0211259,390.982,-2141,289.124
110,0,0.011928,-0.0128744,-0.0240277,392.094,-2129.27,289.123
111,0,0.0140153,-0.0117405,-0.0231812,392.866,-2117.8,289.244
112,0,0.0135319,-0.0102618,-0.0243959,393.659,-2107.58,289.212
113,0,0.0154911,-0.00892475,-0.0231342,394.613,-2096.58,289.16
114,0,0.0144056,-0.00823976,-0.0238497,395.377,-2084.89,289.166
115,0,0.0138847,-0.0111061,-0.0226386,396.069,-2073.05,289.029
116,0,0.013618,-0.0103413,-0.0218244,396.52,-2061.54,289.213
117,0,0.0140998,-0.0097404,-0.0231238,397.349,-2049.58,289.329
118,0,0.0189782,-0.0120922,-0.0273105,398.228,-2038.48,290.224
119,0,0.019259,-0.0109073,-0.026781,399.133,-2026.99,290.278
120,0,0.0149215,-0.0103967,-0.0224226,399.219,-2014.98,290.059
121,0,0.0149206,-0.0102634,-0.024611,400.403,-2003.54,289.882
122,0,0.0150473,-0.00994112,-0.0253044,401.002,-1991.8,290.103
