Objects
100
,,Global Angle car_f1_1:car_f1_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.00972185,-0.0169368,0.0263113,572.449,-3079.14,284.256
2,0,-0.00862192,-0.0191114,0.0298086,572.317,-3079.08,284.044
3,0,-0.00835656,-0.0178676,0.0280258,572.667,-3078.96,284.142
4,0,0.00153253,-0.0166443,0.0260908,574.826,-3076.41,284.157
5,0,0.00177232,-0.0164822,0.0261049,574.81,-3076.43,284.205
6,0,-3.00888e-005,-0.0138942,0.0255996,574.214,-3076.47,284.676
7,0,-0.00554897,-0.0175874,0.0308423,571.857,-3078.88,284.578
8,0,-0.00482482,-0.0186458,0.0317817,572.114,-3078.86,284.3
9,0,-0.00503586,-0.0150084,0.030852,572.694,-3078.66,284.209
10,0,-0.00696586,-0.0155379,0.0296143,571.784,-3079.1,284.702
11,0,-0.00572469,-0.0159085,0.0293213,572.29,-3078.76,284.528
12,0,-0.0044511,-0.01751,0.0334361,572.435,-3078.72,284.025
13,0,0.00180976,-0.016496,0.0260533,574.77,-3076.36,284.148
14,0,0.00250647,-0.0144709,0.0240539,574.417,-3076.81,284.641
15,0,0.00690601,-0.0105471,0.0267335,573.474,-3078.13,284.927
16,0,0.0185079,-0.0113844,0.0297826,574.449,-3077.63,284.96
17,0,0.0255726,-0.00779788,0.0268087,575.011,-3076.13,285.8
18,0,0.02585,-0.007163,0.0336662,574.817,-3073,285.743
19,0,0.0267601,-0.00303286,0.0310789,575.075,-3070.16,285.949
20,0,0.0213166,0.00592215,0.029451,574.573,-3065.72,286.521
21,0,0.0291101,-0.00239637,0.0335698,575.846,-3061.44,286.337
22,0,0.0262002,0.00328484,0.0299724,575.222,-3056.38,287.224
23,0,0.0260776,0.00386203,0.0291532,575.571,-3051.11,287.527
24,0,0.0268235,0.00436889,0.0295743,575.855,-3045.49,287.463
25,0,0.0211575,-0.00320998,0.0254915,576.128,-3042.34,287.177
26,0,0.0200091,-0.00329905,0.0260615,575.759,-3036.33,287.205
27,0,0.0263226,0.0026465,0.0253285,575.527,-3028.06,287.611
28,0,0.0276487,-0.000326559,0.02693,574.797,-3022.26,287.78
29,0,0.0258653,-0.000610042,0.0247074,574.894,-3015.66,287.118
30,0,0.0266654,-0.00202596,0.0273671,575.112,-3008.7,286.78
31,0,0.0325354,-0.00589565,0.0277543,575.116,-3000.26,287.571
32,0,0.0233834,-0.00266457,0.0323285,574.558,-2992.66,286.29
33,0,0.0238086,-0.00474987,0.0291321,573.034,-2987.5,286.635
34,0,0.0249765,-0.0105968,0.031259,573.845,-2978.46,286.444
35,0,0.0269619,-0.00919689,0.0317487,573.951,-2970.75,286.256
36,0,0.0274035,-0.0100771,0.0310857,573.881,-2962.66,286.501
37,0,0.0314154,-0.00800216,0.0304534,574.167,-2955.09,286.799
38,0,0.0288849,-0.00723967,0.0295109,573.339,-2946.91,287.038
39,0,0.0269901,-0.00587904,0.0309362,573.836,-2937.83,286.582
40,0,0.0242609,-0.00832075,0.0319147,573.271,-2928.83,286.707
41,0,0.025372,-0.0105009,0.0305676,573.32,-2919.63,286.742
42,0,0.0245639,-0.00610669,0.0279264,573.74,-2910.75,286.954
43,0,0.0258375,-0.00953283,0.0283187,573.483,-2901.68,287.266
44,0,0.0226443,-0.00764235,0.0285625,574.028,-2892.19,286.603
45,0,0.0200614,-0.00940814,0.032368,573.605,-2882.89,286.21
46,0,0.0211929,-0.00989076,0.0326054,573.901,-2873.67,285.921
47,0,0.0206498,-0.00902928,0.034658,573.801,-2864.47,285.783
48,0,0.0193787,-0.00844206,0.0323153,573.423,-2855.03,286.041
49,0,0.0212974,-0.00725459,0.0308415,573.832,-2845.46,286.214
50,0,0.0182385,-0.0100092,0.0330186,573.607,-2835.85,285.978
51,0,0.016373,-0.0097667,0.0330999,572.854,-2826.3,286.161
52,0,0.016307,-0.0117516,0.0330886,572.775,-2816.44,286.199
53,0,0.0167762,-0.0132693,0.0339719,573.035,-2807.12,286.143
54,0,0.0194362,-0.0119261,0.0321627,573.207,-2797.51,286.434
55,0,0.0171623,-0.013781,0.0321537,573.042,-2787.74,286.421
56,0,0.019344,-0.0112037,0.0318331,572.874,-2777.77,286.802
57,0,0.0217221,-0.012104,0.0310035,573.552,-2768.01,286.812
58,0,0.0232414,-0.0101098,0.0328395,573.198,-2757.77,287.312
59,0,0.0219872,-0.0078529,0.0318918,573.502,-2747.79,287.211
60,0,0.0199429,-0.00997699,0.0350524,573.335,-2737.66,286.995
61,0,0.0167301,-0.00466325,0.0296578,574.217,-2725.78,287.305
62,0,0.0134729,-0.00695494,0.0345452,574.011,-2716.49,286.68
63,0,0.0160836,-0.00377963,0.0311176,574.212,-2706.3,287.007
64,0,0.0167177,-0.00953575,0.0366044,573.518,-2696.42,286.73
65,0,0.0216592,-0.00775627,0.0322846,574.219,-2686.57,287.152
66,0,0.0155395,-0.00833313,0.0339345,573.689,-2675.28,286.812
67,0,0.0154635,-0.00795363,0.0327929,573.437,-2664.57,287.073
68,0,0.0206133,-0.00755131,0.0304957,573.343,-2654.54,287.751
69,0,0.0151038,-0.0143734,0.0342075,573.051,-2644.37,286.764
70,0,0.0147922,-0.00983746,0.0330743,572.721,-2633.08,287.209
71,0,0.0172222,-0.0113943,0.0319114,573.278,-2622.07,287.446
72,0,0.0192731,-0.0101687,0.0333082,572.754,-2611.58,287.599
73,0,0.0203501,-0.00899023,0.0320962,572.969,-2600.64,287.918
74,0,0.0205078,-0.00909497,0.0338077,573.168,-2589.65,287.739
75,0,0.0180259,-0.00834733,0.0358137,572.895,-2578.39,287.655
76,0,0.0188724,-0.00625305,0.0326322,573.535,-2567.43,287.774
77,0,0.0188674,-0.00589982,0.0328605,573.595,-2555.83,287.686
78,0,0.0162794,-0.00838789,0.0362819,573.287,-2544.54,287.407
79,0,0.0168302,-0.00778295,0.0313541,573.918,-2533.33,287.608
80,0,0.016267,-0.00711951,0.0323663,573.826,-2522.27,287.493
81,0,0.0166691,-0.00551809,0.0330952,573.724,-2510.63,287.776
82,0,0.01567,-0.00454761,0.0307721,573.158,-2498.75,287.854
83,0,0.0165004,-0.0088383,0.0333165,573.385,-2487.2,287.827
84,0,0.0152614,-0.0116481,0.0324933,573.371,-2476.31,287.625
85,0,0.0149782,-0.0128128,0.0311544,573.19,-2464.73,287.983
86,0,0.0149599,-0.0109148,0.0309984,572.814,-2452.74,288.156
87,0,0.0154616,-0.0074347,0.0318828,572.871,-2440.91,288.435
88,0,0.011354,-0.0110143,0.0338777,572.636,-2429.4,287.989
89,0,0.0148201,-0.0105845,0.0323316,573.39,-2417.57,288.054
90,0,0.0139745,-0.00591789,0.030789,573.43,-2405.51,288.248
91,0,0.015013,-0.00660688,0.0321305,573.448,-2393.59,288.224
92,0,0.0159943,-0.0063776,0.0320514,572.997,-2381.85,288.729
93,0,0.0169088,-0.00852732,0.0319673,572.897,-2370.18,288.475
94,0,0.0170592,-0.00722968,0.0330549,573.282,-2357.48,288.459
95,0,0.0156173,-0.00869145,0.0311521,572.798,-2345.5,288.5
96,0,0.0175845,-0.0120768,0.0318748,572.839,-2333.43,288.548
97,0,0.0165078,-0.0101851,0.0328415,572.631,-2321.52,288.334
98,0,0.017597,-0.00900045,0.0307397,572.125,-2309.15,288.817
99,0,0.0181906,-0.012011,0.0312424,572.58,-2297.17,288.655
100,0,0.0189692,-0.0111387,0.0327732,572.577,-2284.42,288.692
101,0,0.0165056,-0.0100492,0.0313435,572.729,-2271.42,288.699
102,0,0.0175212,-0.00846416,0.0350829,572.521,-2259.11,288.647
103,0,0.0174662,-0.00838854,0.032002,572.721,-2246.62,288.391
104,0,0.0178599,-0.00948062,0.0314979,573.037,-2233.82,288.561
105,0,0.0159971,-0.00822843,0.0339193,573.023,-2221.17,288.375
106,0,0.0153716,-0.00542614,0.0309761,573.013,-2208.07,288.351
107,0,0.0168108,-0.00727462,0.0324531,572.927,-2195.22,288.416
108,0,0.015161,-0.00907503,0.0302181,572.847,-2182.41,288.413
109,0,0.0186552,-0.0125224,0.031681,572.457,-2170.13,288.791
110,0,0.0158579,-0.00966056,0.031196,572.504,-2157.12,288.65
111,0,0.0173901,-0.00714187,0.0329325,572.177,-2144.13,288.986
112,0,0.0185719,-0.0104102,0.0346504,571.968,-2131.14,289.408
113,0,0.0157782,-0.00868042,0.0324628,572.655,-2116.89,289.273
114,0,0.0153893,-0.00865699,0.0330999,572.725,-2103.76,289.383
115,0,0.0171305,-0.00768738,0.032819,572.731,-2090.95,289.27
116,0,0.0173283,-0.00741716,0.0341936,572.617,-2077.79,289.266
117,0,0.018865,-0.00718264,0.0327037,572.657,-2064.44,289.302
