%time,field.velocity,field.angle
6398.620489595,9780.0,0.0
6398.635279867,9780.0,0.0
6398.640920229,9780.0,0.0
6398.650736800,9780.0,0.0
6398.662381854,9780.0,0.0
6398.671702846,9780.0,0.0
6398.681809998,9780.0,0.0
6398.691361071,9780.0,0.0
6398.704669525,9780.0,0.0
6398.713781770,9780.0,0.0
6398.722129105,9780.0,0.0
6398.734721732,9780.0,0.0
6398.745069382,9780.0,0.0
6398.758952080,9780.0,0.0
6398.767189000,9780.0,0.0
6398.775546085,9780.0,0.0
6398.789891112,9780.0,0.0
6398.803344814,9780.0,0.0
6398.809486921,9780.0,0.0
6398.818959912,9780.0,0.0
6398.828427570,9780.0,0.0
6398.838189642,9780.0,0.0
6398.848510708,9780.0,0.0
6398.860338093,9780.0,0.0
6398.868759761,9780.0,0.0
6398.880065567,9780.0,0.0
6398.888919814,9780.0,0.0
6398.898801551,9780.0,0.0
6398.909056952,9780.0,0.0
6398.920947419,9780.0,0.0
6398.931548566,9780.0,0.0
6398.955285835,9780.0,0.0
6398.955680998,9780.0,0.0
6398.963968500,9780.0,0.0
6398.972488251,9780.0,0.0
6398.982606569,9780.0,0.0
6398.992672887,9780.0,0.0
6399.003649031,9780.0,0.0
6399.013662850,9780.0,0.0
6399.023790834,9780.0,0.0
6399.033746321,9780.0,0.0
6399.047499104,9780.0,0.0
6399.054990864,9780.0,0.0
6399.064619187,9780.0,0.0
6399.075374499,9780.0,0.0
6399.094026900,9780.0,0.0
6399.100131924,9780.0,0.0
6399.106982691,9780.0,0.0
6399.117124509,9780.0,0.0
6399.128167318,9780.0,0.0
6399.137943640,9780.0,0.0
6399.148254872,9780.0,0.0
6399.158436523,9780.0,0.0
6399.169051503,9780.0,0.0
6399.177904584,9780.0,0.0
6399.191736782,9780.0,0.0
6399.199198876,9780.0,0.0
6399.208136956,9780.0,0.0
6399.221232995,9780.0,0.0
6399.228653006,9780.0,0.0
6399.237909249,9780.0,0.0
6399.248583562,9780.0,0.0
6399.258850546,9780.0,0.0
6399.268600617,9780.0,0.0
6399.279030099,9780.0,0.0
6399.288881586,9780.0,0.0
6399.299017571,9780.0,0.0
6399.308633477,9780.0,0.0
6399.318877544,9780.0,0.0
6399.336992535,9780.0,0.0
6399.339714591,9780.0,0.0
6399.350174073,9780.0,0.0
6399.361821543,9780.0,0.0
6399.370732039,9780.0,0.0
6399.381490601,9780.0,0.0
6399.392635243,9780.0,0.0
6399.409741410,9780.0,0.0
6399.414524696,9780.0,0.0
6399.431505448,9780.0,0.0
6399.436451150,9780.0,0.0
6399.446078639,9780.0,0.0
6399.456636203,9780.0,0.0
6399.466958436,9780.0,0.0
6399.476436177,9780.0,0.0
6399.485757419,9780.0,0.0
6399.496701896,9780.0,0.0
6399.506575800,9780.0,0.0
6399.517119281,9780.0,0.0
6399.527369764,9780.0,0.0
6399.537574248,9780.0,0.0
6399.547715233,9780.0,0.0
6399.557549720,9780.0,0.0
6399.568014118,9780.0,0.0
6399.577203862,9780.0,0.0
6399.589609408,9780.0,0.0
6399.601045463,9780.0,0.0
6399.612132439,9780.0,0.0
6399.619898280,9780.0,0.0
6399.629544019,9780.0,0.0
6399.641628152,9780.0,0.0
6399.650780229,9780.0,0.0
6399.661805205,9780.0,0.0
